"SBI";"Regio";"Periode";"Banen van werknemers";"Banen van werknemers, mutatie"
"A-U Alle economische activiteiten";"Nederland totaal";"2008 december**";"7891.90";"."
"A-U Alle economische activiteiten";"Nederland totaal";"2009 december**";"7812.40";"-79.50"
"A-U Alle economische activiteiten";"Nederland totaal";"2010 december*";"7828.20";"15.80"
"A-U Alle economische activiteiten";"Noord-Nederland (LD)";"2008 december**";"700.30";"."
"A-U Alle economische activiteiten";"Noord-Nederland (LD)";"2009 december**";"692.90";"-7.40"
"A-U Alle economische activiteiten";"Noord-Nederland (LD)";"2010 december*";"694.30";"1.40"
"A-U Alle economische activiteiten";"Oost-Nederland (LD)";"2008 december**";"1584.10";"."
"A-U Alle economische activiteiten";"Oost-Nederland (LD)";"2009 december**";"1573.90";"-10.30"
"A-U Alle economische activiteiten";"Oost-Nederland (LD)";"2010 december*";"1575.90";"2.00"
"A-U Alle economische activiteiten";"West-Nederland (LD)";"2008 december**";"3887.60";"."
"A-U Alle economische activiteiten";"West-Nederland (LD)";"2009 december**";"3855.60";"-32.00"
"A-U Alle economische activiteiten";"West-Nederland (LD)";"2010 december*";"3865.30";"9.70"
"A-U Alle economische activiteiten";"Zuid-Nederland (LD)";"2008 december**";"1714.70";"."
"A-U Alle economische activiteiten";"Zuid-Nederland (LD)";"2009 december**";"1688.50";"-26.10"
"A-U Alle economische activiteiten";"Zuid-Nederland (LD)";"2010 december*";"1688.30";"-0.20"
"A-U Alle economische activiteiten";"Niet in te delen (LD)";"2008 december**";"5.30";"."
"A-U Alle economische activiteiten";"Niet in te delen (LD)";"2009 december**";"1.50";"-3.80"
"A-U Alle economische activiteiten";"Niet in te delen (LD)";"2010 december*";"4.50";"3.00"
"A-U Alle economische activiteiten";"Groningen (PV)";"2008 december**";"249.90";"."
"A-U Alle economische activiteiten";"Groningen (PV)";"2009 december**";"249.20";"-0.70"
"A-U Alle economische activiteiten";"Groningen (PV)";"2010 december*";"245.20";"-4.00"
"A-U Alle economische activiteiten";"Friesland (PV)";"2008 december**";"254.60";"."
"A-U Alle economische activiteiten";"Friesland (PV)";"2009 december**";"250.60";"-4.00"
"A-U Alle economische activiteiten";"Friesland (PV)";"2010 december*";"255.20";"4.60"
"A-U Alle economische activiteiten";"Drenthe (PV)";"2008 december**";"195.80";"."
"A-U Alle economische activiteiten";"Drenthe (PV)";"2009 december**";"193.10";"-2.70"
"A-U Alle economische activiteiten";"Drenthe (PV)";"2010 december*";"193.80";"0.70"
"A-U Alle economische activiteiten";"Overijssel (PV)";"2008 december**";"523.00";"."
"A-U Alle economische activiteiten";"Overijssel (PV)";"2009 december**";"520.00";"-3.00"
"A-U Alle economische activiteiten";"Overijssel (PV)";"2010 december*";"522.60";"2.60"
"A-U Alle economische activiteiten";"Flevoland (PV)";"2008 december**";"149.10";"."
"A-U Alle economische activiteiten";"Flevoland (PV)";"2009 december**";"148.20";"-0.90"
"A-U Alle economische activiteiten";"Flevoland (PV)";"2010 december*";"146.30";"-1.90"
"A-U Alle economische activiteiten";"Gelderland (PV)";"2008 december**";"911.90";"."
"A-U Alle economische activiteiten";"Gelderland (PV)";"2009 december**";"905.70";"-6.30"
"A-U Alle economische activiteiten";"Gelderland (PV)";"2010 december*";"906.90";"1.20"
"A-U Alle economische activiteiten";"Utrecht (PV)";"2008 december**";"668.40";"."
"A-U Alle economische activiteiten";"Utrecht (PV)";"2009 december**";"663.50";"-4.80"
"A-U Alle economische activiteiten";"Utrecht (PV)";"2010 december*";"665.60";"2.00"
"A-U Alle economische activiteiten";"Noord-Holland (PV)";"2008 december**";"1399.50";"."
"A-U Alle economische activiteiten";"Noord-Holland (PV)";"2009 december**";"1387.80";"-11.70"
"A-U Alle economische activiteiten";"Noord-Holland (PV)";"2010 december*";"1388.20";"0.40"
"A-U Alle economische activiteiten";"Zuid-Holland (PV)";"2008 december**";"1666.90";"."
"A-U Alle economische activiteiten";"Zuid-Holland (PV)";"2009 december**";"1652.80";"-14.20"
"A-U Alle economische activiteiten";"Zuid-Holland (PV)";"2010 december*";"1660.80";"8.00"
"A-U Alle economische activiteiten";"Zeeland (PV)";"2008 december**";"152.80";"."
"A-U Alle economische activiteiten";"Zeeland (PV)";"2009 december**";"151.50";"-1.30"
"A-U Alle economische activiteiten";"Zeeland (PV)";"2010 december*";"150.70";"-0.70"
"A-U Alle economische activiteiten";"Noord-Brabant (PV)";"2008 december**";"1213.80";"."
"A-U Alle economische activiteiten";"Noord-Brabant (PV)";"2009 december**";"1198.20";"-15.60"
"A-U Alle economische activiteiten";"Noord-Brabant (PV)";"2010 december*";"1199.20";"1.00"
"A-U Alle economische activiteiten";"Limburg (PV)";"2008 december**";"500.90";"."
"A-U Alle economische activiteiten";"Limburg (PV)";"2009 december**";"490.30";"-10.60"
"A-U Alle economische activiteiten";"Limburg (PV)";"2010 december*";"489.10";"-1.20"
"A-U Alle economische activiteiten";"Niet in te delen (PV)";"2008 december**";"5.30";"."
"A-U Alle economische activiteiten";"Niet in te delen (PV)";"2009 december**";"1.50";"-3.80"
"A-U Alle economische activiteiten";"Niet in te delen (PV)";"2010 december*";"4.50";"3.00"
"A-U Alle economische activiteiten";"Oost-Groningen (CR)";"2008 december**";"47.70";"."
"A-U Alle economische activiteiten";"Oost-Groningen (CR)";"2009 december**";"47.50";"-0.20"
"A-U Alle economische activiteiten";"Oost-Groningen (CR)";"2010 december*";"43.20";"-4.30"
"A-U Alle economische activiteiten";"Delfzijl en omgeving (CR)";"2008 december**";"16.60";"."
"A-U Alle economische activiteiten";"Delfzijl en omgeving (CR)";"2009 december**";"16.30";"-0.30"
"A-U Alle economische activiteiten";"Delfzijl en omgeving (CR)";"2010 december*";"16.20";"-0.10"
"A-U Alle economische activiteiten";"Overig Groningen (CR)";"2008 december**";"185.60";"."
"A-U Alle economische activiteiten";"Overig Groningen (CR)";"2009 december**";"185.40";"-0.20"
"A-U Alle economische activiteiten";"Overig Groningen (CR)";"2010 december*";"185.90";"0.40"
"A-U Alle economische activiteiten";"Noord-Friesland (CR)";"2008 december**";"131.50";"."
"A-U Alle economische activiteiten";"Noord-Friesland (CR)";"2009 december**";"127.50";"-4.00"
"A-U Alle economische activiteiten";"Noord-Friesland (CR)";"2010 december*";"130.20";"2.70"
"A-U Alle economische activiteiten";"Zuidwest-Friesland (CR)";"2008 december**";"38.00";"."
"A-U Alle economische activiteiten";"Zuidwest-Friesland (CR)";"2009 december**";"37.60";"-0.40"
"A-U Alle economische activiteiten";"Zuidwest-Friesland (CR)";"2010 december*";"38.20";"0.60"
"A-U Alle economische activiteiten";"Zuidoost-Friesland (CR)";"2008 december**";"85.10";"."
"A-U Alle economische activiteiten";"Zuidoost-Friesland (CR)";"2009 december**";"85.50";"0.40"
"A-U Alle economische activiteiten";"Zuidoost-Friesland (CR)";"2010 december*";"86.80";"1.30"
"A-U Alle economische activiteiten";"Noord-Drenthe (CR)";"2008 december**";"73.00";"."
"A-U Alle economische activiteiten";"Noord-Drenthe (CR)";"2009 december**";"72.90";"-0.10"
"A-U Alle economische activiteiten";"Noord-Drenthe (CR)";"2010 december*";"75.00";"2.10"
"A-U Alle economische activiteiten";"Zuidoost-Drenthe (CR)";"2008 december**";"63.70";"."
"A-U Alle economische activiteiten";"Zuidoost-Drenthe (CR)";"2009 december**";"61.40";"-2.30"
"A-U Alle economische activiteiten";"Zuidoost-Drenthe (CR)";"2010 december*";"59.80";"-1.60"
"A-U Alle economische activiteiten";"Zuidwest-Drenthe (CR)";"2008 december**";"59.00";"."
"A-U Alle economische activiteiten";"Zuidwest-Drenthe (CR)";"2009 december**";"58.80";"-0.20"
"A-U Alle economische activiteiten";"Zuidwest-Drenthe (CR)";"2010 december*";"59.10";"0.20"
"A-U Alle economische activiteiten";"Noord-Overijssel (CR)";"2008 december**";"174.70";"."
"A-U Alle economische activiteiten";"Noord-Overijssel (CR)";"2009 december**";"173.70";"-1.00"
"A-U Alle economische activiteiten";"Noord-Overijssel (CR)";"2010 december*";"173.60";"-0.10"
"A-U Alle economische activiteiten";"Zuidwest-Overijssel (CR)";"2008 december**";"67.90";"."
"A-U Alle economische activiteiten";"Zuidwest-Overijssel (CR)";"2009 december**";"67.60";"-0.30"
"A-U Alle economische activiteiten";"Zuidwest-Overijssel (CR)";"2010 december*";"70.50";"2.90"
"A-U Alle economische activiteiten";"Twente (CR)";"2008 december**";"280.40";"."
"A-U Alle economische activiteiten";"Twente (CR)";"2009 december**";"278.70";"-1.70"
"A-U Alle economische activiteiten";"Twente (CR)";"2010 december*";"278.60";"-0.10"
"A-U Alle economische activiteiten";"Veluwe (CR)";"2008 december**";"312.40";"."
"A-U Alle economische activiteiten";"Veluwe (CR)";"2009 december**";"313.50";"1.10"
"A-U Alle economische activiteiten";"Veluwe (CR)";"2010 december*";"312.50";"-1.00"
"A-U Alle economische activiteiten";"Achterhoek (CR)";"2008 december**";"164.30";"."
"A-U Alle economische activiteiten";"Achterhoek (CR)";"2009 december**";"162.20";"-2.10"
"A-U Alle economische activiteiten";"Achterhoek (CR)";"2010 december*";"161.70";"-0.50"
"A-U Alle economische activiteiten";"Arnhem/Nijmegen (CR)";"2008 december**";"334.80";"."
"A-U Alle economische activiteiten";"Arnhem/Nijmegen (CR)";"2009 december**";"329.60";"-5.20"
"A-U Alle economische activiteiten";"Arnhem/Nijmegen (CR)";"2010 december*";"329.70";"0.10"
"A-U Alle economische activiteiten";"Zuidwest-Gelderland (CR)";"2008 december**";"100.40";"."
"A-U Alle economische activiteiten";"Zuidwest-Gelderland (CR)";"2009 december**";"100.40";"0.00"
"A-U Alle economische activiteiten";"Zuidwest-Gelderland (CR)";"2010 december*";"103.00";"2.60"
"A-U Alle economische activiteiten";"Utrecht (CR)";"2008 december**";"668.40";"."
"A-U Alle economische activiteiten";"Utrecht (CR)";"2009 december**";"663.50";"-4.80"
"A-U Alle economische activiteiten";"Utrecht (CR)";"2010 december*";"665.60";"2.00"
"A-U Alle economische activiteiten";"Kop van Noord-Holland (CR)";"2008 december**";"142.60";"."
"A-U Alle economische activiteiten";"Kop van Noord-Holland (CR)";"2009 december**";"143.30";"0.70"
"A-U Alle economische activiteiten";"Kop van Noord-Holland (CR)";"2010 december*";"140.20";"-3.10"
"A-U Alle economische activiteiten";"Alkmaar en omgeving (CR)";"2008 december**";"97.40";"."
"A-U Alle economische activiteiten";"Alkmaar en omgeving (CR)";"2009 december**";"97.70";"0.30"
"A-U Alle economische activiteiten";"Alkmaar en omgeving (CR)";"2010 december*";"97.20";"-0.60"
"A-U Alle economische activiteiten";"IJmond (CR)";"2008 december**";"74.20";"."
"A-U Alle economische activiteiten";"IJmond (CR)";"2009 december**";"73.00";"-1.20"
"A-U Alle economische activiteiten";"IJmond (CR)";"2010 december*";"72.80";"-0.10"
"A-U Alle economische activiteiten";"Agglomeratie Haarlem (CR)";"2008 december**";"87.40";"."
"A-U Alle economische activiteiten";"Agglomeratie Haarlem (CR)";"2009 december**";"85.80";"-1.60"
"A-U Alle economische activiteiten";"Agglomeratie Haarlem (CR)";"2010 december*";"85.20";"-0.60"
"A-U Alle economische activiteiten";"Zaanstreek (CR)";"2008 december**";"55.50";"."
"A-U Alle economische activiteiten";"Zaanstreek (CR)";"2009 december**";"55.50";"0.00"
"A-U Alle economische activiteiten";"Zaanstreek (CR)";"2010 december*";"57.30";"1.80"
"A-U Alle economische activiteiten";"Groot-Amsterdam (CR)";"2008 december**";"831.00";"."
"A-U Alle economische activiteiten";"Groot-Amsterdam (CR)";"2009 december**";"825.60";"-5.40"
"A-U Alle economische activiteiten";"Groot-Amsterdam (CR)";"2010 december*";"830.20";"4.60"
"A-U Alle economische activiteiten";"Het Gooi en Vechtstreek (CR)";"2008 december**";"111.30";"."
"A-U Alle economische activiteiten";"Het Gooi en Vechtstreek (CR)";"2009 december**";"106.90";"-4.40"
"A-U Alle economische activiteiten";"Het Gooi en Vechtstreek (CR)";"2010 december*";"105.30";"-1.50"
"A-U Alle economische activiteiten";"Agglomeratie Leiden en Bollenstreek (CR)";"2008 december**";"173.70";"."
"A-U Alle economische activiteiten";"Agglomeratie Leiden en Bollenstreek (CR)";"2009 december**";"171.50";"-4.40"
"A-U Alle economische activiteiten";"Agglomeratie Leiden en Bollenstreek (CR)";"2010 december*";"172.90";"1.40"
"A-U Alle economische activiteiten";"Agglomeratie 's-Gravenhage (CR)";"2008 december**";"399.20";"."
"A-U Alle economische activiteiten";"Agglomeratie 's-Gravenhage (CR)";"2009 december**";"400.10";"0.90"
"A-U Alle economische activiteiten";"Agglomeratie 's-Gravenhage (CR)";"2010 december*";"404.40";"4.30"
"A-U Alle economische activiteiten";"Delft en Westland (CR)";"2008 december**";"117.80";"."
"A-U Alle economische activiteiten";"Delft en Westland (CR)";"2009 december**";"114.90";"-3.00"
"A-U Alle economische activiteiten";"Delft en Westland (CR)";"2010 december*";"116.10";"1.20"
"A-U Alle economische activiteiten";"Oost-Zuid-Holland (CR)";"2008 december**";"135.90";"."
"A-U Alle economische activiteiten";"Oost-Zuid-Holland (CR)";"2009 december**";"135.00";"1.30"
"A-U Alle economische activiteiten";"Oost-Zuid-Holland (CR)";"2010 december*";"124.50";"-2.90"
"A-U Alle economische activiteiten";"Groot-Rijnmond (CR)";"2008 december**";"661.90";"."
"A-U Alle economische activiteiten";"Groot-Rijnmond (CR)";"2009 december**";"655.00";"-6.90"
"A-U Alle economische activiteiten";"Groot-Rijnmond (CR)";"2010 december*";"668.30";"5.60"
"A-U Alle economische activiteiten";"Zuidoost-Zuid-Holland (CR)";"2008 december**";"178.30";"."
"A-U Alle economische activiteiten";"Zuidoost-Zuid-Holland (CR)";"2009 december**";"176.30";"-2.00"
"A-U Alle economische activiteiten";"Zuidoost-Zuid-Holland (CR)";"2010 december*";"174.70";"-1.60"
"A-U Alle economische activiteiten";"Zeeuwsch-Vlaanderen (CR)";"2008 december**";"42.70";"."
"A-U Alle economische activiteiten";"Zeeuwsch-Vlaanderen (CR)";"2009 december**";"42.20";"-0.60"
"A-U Alle economische activiteiten";"Zeeuwsch-Vlaanderen (CR)";"2010 december*";"41.80";"-0.30"
"A-U Alle economische activiteiten";"Overig Zeeland (CR)";"2008 december**";"110.00";"."
"A-U Alle economische activiteiten";"Overig Zeeland (CR)";"2009 december**";"109.30";"-0.70"
"A-U Alle economische activiteiten";"Overig Zeeland (CR)";"2010 december*";"108.90";"-0.40"
"A-U Alle economische activiteiten";"West-Noord-Brabant (CR)";"2008 december**";"297.20";"."
"A-U Alle economische activiteiten";"West-Noord-Brabant (CR)";"2009 december**";"292.80";"-4.50"
"A-U Alle economische activiteiten";"West-Noord-Brabant (CR)";"2010 december*";"291.00";"-1.80"
"A-U Alle economische activiteiten";"Midden-Noord-Brabant (CR)";"2008 december**";"218.90";"."
"A-U Alle economische activiteiten";"Midden-Noord-Brabant (CR)";"2009 december**";"218.80";"-0.10"
"A-U Alle economische activiteiten";"Midden-Noord-Brabant (CR)";"2010 december*";"217.20";"-1.60"
"A-U Alle economische activiteiten";"Noordoost-Noord-Brabant (CR)";"2008 december**";"316.20";"."
"A-U Alle economische activiteiten";"Noordoost-Noord-Brabant (CR)";"2009 december**";"311.60";"-4.60"
"A-U Alle economische activiteiten";"Noordoost-Noord-Brabant (CR)";"2010 december*";"311.20";"-0.40"
"A-U Alle economische activiteiten";"Zuidoost-Noord-Brabant (CR)";"2008 december**";"381.50";"."
"A-U Alle economische activiteiten";"Zuidoost-Noord-Brabant (CR)";"2009 december**";"375.10";"-6.40"
"A-U Alle economische activiteiten";"Zuidoost-Noord-Brabant (CR)";"2010 december*";"379.80";"4.70"
"A-U Alle economische activiteiten";"Noord-Limburg (CR)";"2008 december**";"136.80";"."
"A-U Alle economische activiteiten";"Noord-Limburg (CR)";"2009 december**";"132.70";"-4.10"
"A-U Alle economische activiteiten";"Noord-Limburg (CR)";"2010 december*";"130.20";"-2.50"
"A-U Alle economische activiteiten";"Midden-Limburg (CR)";"2008 december**";"101.00";"."
"A-U Alle economische activiteiten";"Midden-Limburg (CR)";"2009 december**";"99.60";"-1.40"
"A-U Alle economische activiteiten";"Midden-Limburg (CR)";"2010 december*";"100.80";"1.20"
"A-U Alle economische activiteiten";"Zuid-Limburg (CR)";"2008 december**";"263.10";"."
"A-U Alle economische activiteiten";"Zuid-Limburg (CR)";"2009 december**";"258.00";"-5.10"
"A-U Alle economische activiteiten";"Zuid-Limburg (CR)";"2010 december*";"258.20";"0.10"
"A-U Alle economische activiteiten";"Flevoland (CR)";"2008 december**";"149.10";"."
"A-U Alle economische activiteiten";"Flevoland (CR)";"2009 december**";"148.20";"-0.90"
"A-U Alle economische activiteiten";"Flevoland (CR)";"2010 december*";"146.30";"-1.90"
"A-U Alle economische activiteiten";"Niet in te delen (CR)";"2008 december**";"5.30";"."
"A-U Alle economische activiteiten";"Niet in te delen (CR)";"2009 december**";"1.50";"-3.80"
"A-U Alle economische activiteiten";"Niet in te delen (CR)";"2010 december*";"4.50";"3.00"
"A-U Alle economische activiteiten";"Groningen (GA)";"2008 december**";"139.00";"."
"A-U Alle economische activiteiten";"Groningen (GA)";"2009 december**";"139.20";"0.20"
"A-U Alle economische activiteiten";"Groningen (GA)";"2010 december*";"139.70";"0.50"
"A-U Alle economische activiteiten";"Leeuwarden (GA)";"2008 december**";"67.10";"."
"A-U Alle economische activiteiten";"Leeuwarden (GA)";"2009 december**";"67.30";"0.20"
"A-U Alle economische activiteiten";"Leeuwarden (GA)";"2010 december*";"67.90";"0.60"
"A-U Alle economische activiteiten";"Zwolle (GA)";"2008 december**";"91.20";"."
"A-U Alle economische activiteiten";"Zwolle (GA)";"2009 december**";"91.50";"0.30"
"A-U Alle economische activiteiten";"Zwolle (GA)";"2010 december*";"89.40";"-2.10"
"A-U Alle economische activiteiten";"Enschede (GA)";"2008 december**";"75.00";"."
"A-U Alle economische activiteiten";"Enschede (GA)";"2009 december**";"76.30";"1.20"
"A-U Alle economische activiteiten";"Enschede (GA)";"2010 december*";"77.30";"1.10"
"A-U Alle economische activiteiten";"Apeldoorn (GA)";"2008 december**";"91.30";"."
"A-U Alle economische activiteiten";"Apeldoorn (GA)";"2009 december**";"94.00";"2.70"
"A-U Alle economische activiteiten";"Apeldoorn (GA)";"2010 december*";"90.80";"-3.20"
"A-U Alle economische activiteiten";"Arnhem (GA)";"2008 december**";"104.90";"."
"A-U Alle economische activiteiten";"Arnhem (GA)";"2009 december**";"105.40";"0.50"
"A-U Alle economische activiteiten";"Arnhem (GA)";"2010 december*";"106.00";"0.60"
"A-U Alle economische activiteiten";"Nijmegen (GA)";"2008 december**";"101.70";"."
"A-U Alle economische activiteiten";"Nijmegen (GA)";"2009 december**";"99.90";"-1.90"
"A-U Alle economische activiteiten";"Nijmegen (GA)";"2010 december*";"99.30";"-0.60"
"A-U Alle economische activiteiten";"Amersfoort (GA)";"2008 december**";"95.60";"."
"A-U Alle economische activiteiten";"Amersfoort (GA)";"2009 december**";"95.30";"-0.30"
"A-U Alle economische activiteiten";"Amersfoort (GA)";"2010 december*";"95.90";"0.50"
"A-U Alle economische activiteiten";"Utrecht (GA)";"2008 december**";"308.30";"."
"A-U Alle economische activiteiten";"Utrecht (GA)";"2009 december**";"305.30";"-3.00"
"A-U Alle economische activiteiten";"Utrecht (GA)";"2010 december*";"310.20";"4.90"
