"oldlevel";"level"
"A-U Alle economische activiteiten";"A-U Alle economische activiteiten"
"A Landbouw, bosbouw en visserij";"A Landbouw, bosbouw en visserij"
"B-E Nijverheid (geen bouw) en energie";"B-E Nijverheid (geen bouw) en energie"
"B-F Nijverheid en energie";"B-F Nijverheid en energie"
"B Delfstoffenwinning";"B Delfstoffenwinning"
"C Industrie";"C Industrie"
"D Energievoorziening";"D Energievoorziening"
"E Waterbedrijven en afvalbeheer";"E Waterbedrijven en afvalbeheer"
"F Bouwnijverheid";"F Bouwnijverheid"
"G-I Handel, vervoer en horeca";"G-I Handel, vervoer en horeca"
"G-N Commerciële dienstverlening";"G-N Commerciële dienstverlening"
"G Handel";"G Handel"
"H Vervoer en opslag";"H Vervoer en opslag"
"I Horeca";"I Horeca"
"J Informatie en communicatie";"J Informatie en communicatie"
"K Financiële dienstverlening";"K Financiële dienstverlening"
"L Verhuur en handel van onroerend goed";"L Verhuur en handel van onroerend goed"
"M-N Zakelijke dienstverlening";"M-N Zakelijke dienstverlening"
"M Specialistische zakelijke diensten";"M Specialistische zakelijke diensten"
"N Verhuur en overige zakelijke diensten";"N Verhuur en overige zakelijke diensten"
"O-Q Overheid en zorg";"O-Q Overheid en zorg"
"O-U Niet-commerciële dienstverlening";"O-U Niet-commerciële dienstverlening"
"O Openbaar bestuur en overheidsdiensten";"O Openbaar bestuur en overheidsdiensten"
"P Onderwijs";"P Onderwijs"
"Q Gezondheids- en welzijnszorg";"Q Gezondheids- en welzijnszorg"
"R-U Cultuur, recreatie, overige diensten";"R-U Cultuur, recreatie, overige diensten"
"R Cultuur, sport en recreatie";"R Cultuur, sport en recreatie"
"S Overige dienstverlening";"S Overige dienstverlening"
