var;year;total_total;total_00_05;total_05_10;total_10_15;total_15_20;total_20_25;total_25_30;total_30_35;total_35_40;total_40_45;total_45_50;total_50_55;total_55_60;total_60_65;total_65_70;total_70_75;total_75_80;total_80_85;total_85_90;total_90_95;total_95_00;male_total;male_00_05;male_05_10;male_10_15;male_15_20;male_20_25;male_25_30;male_30_35;male_35_40;male_40_45;male_45_50;male_50_55;male_55_60;male_60_65;male_65_70;male_70_75;male_75_80;male_80_85;male_85_90;male_90_95;male_95_00;female_total;female_00_05;female_05_10;female_10_15;female_15_20;female_20_25;female_25_30;female_30_35;female_35_40;female_40_45;female_45_50;female_50_55;female_55_60;female_60_65;female_65_70;female_70_75;female_75_80;female_80_85;female_85_90;female_90_95;female_95_00
Prognose;2011;16654454;920692;984951;998953;1006884;1033519;1002012;1005785;1122453;1296248;1298311;1195973;1090433;1103299;790697;637260;499571;360585;212002;76349;18478;8245473;471224;503833;511049;514797;522895;504698;504344;561192;654113;655448;600816;547009;553282;390922;302317;219265;139167;67012;18845;3246;8408981;449468;481119;487904;492087;510624;497314;501441;561261;642135;642863;595157;543425;550016;399775;334943;280306;221418;144990;57504;15232
Prognose;2012;16733121;917367;968433;1009894;998397;1048260;1012700;1011601;1074293;1289486;1297490;1215801;1104588;1070026;873751;649349;506526;368429;215495;82115;19121;8286680;469386;495666;515962;511177;530621;510425;506955;536946;649463;655412;610388;553624;535972;432872;309661;224373;144218;69368;20789;3402;8446441;447980;472766;493932;487220;517639;502275;504646;537348;640023;642079;605412;550964;534054;440878;339688;282153;224211;146126;61326;15720
Prognose;2013;16808530;916514;950312;1017429;993733;1058418;1029318;1014707;1036247;1273035;1293033;1234334;1115307;1051610;941566;667103;512059;378011;218805;87095;19896;8325542;469251;486027;520247;508221;535545;519228;509004;518234;639254;653233;619742;558320;526662;466336;319730;228778;149772;71853;22512;3594;8482988;447263;464285;497181;485512;522872;510089;505703;518013;633782;639800;614592;556987;524948;475231;347373;283280;228239;146952;64583;16302
Prognose;2014;16877754;912208;936022;1017812;996678;1065804;1046172;1013513;1019042;1236342;1286427;1252589;1131059;1044134;985156;688925;526388;383152;223191;92641;20501;8360505;466811;478870;520446;509825;539159;527785;508728;509636;619481;649049;629298;565891;522033;488163;331544;237247;153764;74722;24290;3762;8517249;445397;457152;497367;486853;526644;518386;504785;509406;616860;637378;623290;565168;522101;496993;357381;289140;229387;148469;68352;16739
Prognose;2015;16941202;907790;928158;1009876;1000241;1070680;1059659;1017551;1008711;1181091;1286953;1268293;1149936;1046031;1013220;715806;541043;389698;228139;96821;21506;8391858;464641;474939;515946;511763;541877;534027;511048;504578;590431;648589;637487;574834;522411;502169;345698;245570;158260;77952;25605;4035;8549345;443150;453219;493930;488478;528803;525632;506504;504133;590660;638364;630806;575102;523619;511051;370108;295472;231439;150187;71216;17471
Prognose;2016;17001316;906472;923645;991143;1013878;1061908;1077775;1018019;1013169;1123407;1286092;1277561;1167737;1053618;1044794;730372;558870;394326;235694;99038;23800;8421184;463947;472567;506677;518387;537108;543478;511207;506912;560624;646771;642418;584054;525155;517557;353511;255396;162106;82002;26693;4615;8580132;442526;451078;484466;495492;524799;534298;506811;506257;562783;639322;635142;583683;528463;527237;376861;303474;232220;153691;72345;19185
Prognose;2017;17059338;907460;919782;973716;1024257;1052829;1090213;1026147;1016673;1075326;1278849;1276182;1186791;1067241;1013956;808420;570749;401419;242134;101408;25784;8449335;464444;470394;498006;522999;533087;549925;515359;507953;536324;641891;641938;593117;531477;501859;392417;262544;166901;85656;27925;5121;8610002;443015;449389;475710;501258;519743;540288;510788;508721;539002;636958;634244;593673;535765;512098;416003;308205;234519;156478;73483;20663
Prognose;2018;17116422;910363;918518;954734;1031307;1047829;1098434;1040574;1017425;1036978;1261992;1271293;1204402;1077621;997121;872133;587565;407402;249653;103617;27462;8477072;465939;470005;487928;527020;529963;553848;522984;508460;517378;631515;639470;601860;536020;493610;423469;272002;171192;89626;29219;5565;8639349;444423;448512;466806;504287;517866;544586;517589;508965;519600;630477;631824;602542;541602;503511;448664;315563;236209;160027;74398;21898
Prognose;2019;17172928;914550;914192;939912;1031371;1050583;1105088;1055696;1014616;1019191;1225761;1264482;1221893;1092908;990663;913257;608395;420403;254129;106601;29239;8504558;468098;467561;480510;527071;531488;557109;530715;507158;508437;612118;635202;610929;543352;489745;443907;283201;178576;92632;30733;6016;8668370;446451;446630;459402;504300;519095;547979;524982;507458;510755;613643;629280;610964;549556;500918;469350;325194;241826;161498;75868;23223
Prognose;2020;17228780;919643;909968;932003;1023368;1054347;1109936;1068291;1017334;1008509;1171595;1265038;1236993;1111346;993080;939956;633731;433681;259594;109719;30649;8531754;470737;465524;476581;522566;533584;559837;536672;508737;503152;583889;634830;618775;552099;490568;457208;296422;185855;95992;32360;6368;8697026;448905;444444;455422;500802;520763;550099;531619;508597;505357;587706;630208;618219;559247;502512;482748;337309;247825;163602;77359;24281
Prognose;2021;17283794;925349;908830;927587;1004715;1067943;1101978;1085526;1017225;1012437;1115278;1264310;1246106;1128669;1000940;969565;647934;449438;263978;114173;31814;8558519;473697;464968;474300;513371;540251;555571;545765;508651;505217;555029;633241;623644;561065;493627;471563;304064;194273;99073;34398;6753;8725275;451652;443862;453287;491344;527692;546406;539760;508574;507220;560249;631069;622462;567604;507313;498002;343870;255165;164905;79775;25061
Prognose;2022;17337586;931198;910027;923914;987303;1078508;1093656;1097527;1024880;1015485;1068380;1257431;1244897;1147458;1014413;942094;719463;460122;269984;117893;32955;8584586;476727;465627;472267;504750;545034;551993;552087;512641;506038;531528;628754;623288;570041;499989;458096;339093;200516;102733;36218;7164;8753001;454471;444400;451647;482552;533475;541663;545440;512239;509447;536851;628678;621608;577416;514424;483998;380369;259607;167251;81674;25791
Prognose;2023;17389860;936904;913110;922873;968342;1085701;1089366;1105464;1039000;1015805;1030955;1241114;1240379;1164730;1024880;927549;777658;474741;275255;122082;33955;8609750;479687;467258;472034;494731;549153;549333;555906;520208;506304;513205;618859;621095;578612;504709;451354;366958;208510;106086;38173;7576;8780110;457216;445852;450839;473611;536548;540033;549558;518792;509501;517750;622255;619284;586118;520171;476194;410700;266231;169169;83910;26379
Prognose;2024;17440236;942107;917445;918805;953538;1085859;1092577;1112143;1053775;1012710;1013516;1205954;1233942;1181879;1039939;922497;815163;493143;285291;124646;35309;8633765;482384;469536;469762;487348;549306;551110;559220;527835;504848;504539;600222;617121;587503;511980;448491;385321;218125;111400;39660;8054;8806471;459723;447909;449042;466190;536553;541467;552923;525941;507863;508977;605731;616820;594376;527959;474005;429842;275018;173892;84986;27255
Prognose;2025;17488348;946670;922654;914759;945677;1077960;1096750;1117070;1066154;1015009;1003008;1153193;1234791;1196658;1058000;925545;839415;515207;295505;127755;36569;8656447;484747;472269;467847;483466;544902;553422;561994;533754;506208;499371;572947;616985;595179;520560;449807;397240;229270;116620;41332;8527;8831901;461923;450385;446912;462211;533057;543328;555076;532400;508801;503636;580246;617806;601480;537440;475738;442175;285937;178885;86423;28043
Prognose;2026;17533982;950511;928443;913723;941319;1059592;1110326;1109674;1082937;1014743;1006695;1098369;1234277;1205707;1074825;933606;865471;527752;307336;130478;38200;8677687;486733;475300;467356;481247;535888;560077;558055;542603;506062;501314;545047;615611;599994;529241;453099;409603;235827;122553;42957;9121;8856295;463778;453143;446367;460073;523704;550249;551619;540334;508681;505382;553322;618666;605713;545584;480507;455868;291925;184783;87521;29079
Prognose;2027;17576846;953710;934345;914971;937706;1042334;1121002;1101826;1094641;1022130;1009470;1052670;1227770;1204733;1093174;946737;842129;588642;315341;134009;39506;8697323;488391;478378;468055;479266;527380;564937;554700;548756;509919;501990;522291;611438;599761;537987;459325;398692;264596;126978;44842;9642;8879523;465319;455967;446916;458440;514955;556065;547126;545885;512210;507480;530379;616333;604972;555187;487412;443437;324046;188363;89167;29864
Prognose;2028;17616870;956208;940095;918077;936711;1023584;1128311;1097944;1102383;1035997;1009548;1016199;1211984;1200655;1109967;957124;830387;637528;326083;137177;40910;8715328;489686;481378;469716;479060;517518;569078;552283;552428;517361;502107;504537;601944;597830;546270;464061;393634;287114;132543;46586;10195;8901542;466522;458718;448361;457651;506066;559233;545660;549955;518637;507441;511662;610039;602825;563697;493064;436752;350414;193540;90591;30715
Prognose;2029;17653872;958044;945334;922430;932719;1009035;1128679;1101350;1109068;1050511;1006339;999193;1177916;1194690;1126655;971734;826907;668527;340093;142814;41835;8731628;490647;484106;472017;476833;510289;569329;554153;555712;524849;500581;496146;584007;594167;554871;471088;391793;301716;139444;49257;10623;8922244;467397;461228;450413;455886;498746;559350;547198;553356;525662;505759;503047;593909;600523;571784;500646;435113;366811;200649;93557;31211
Prognose;2030;17687794;959341;949935;927646;928745;1001379;1121170;1105717;1114050;1062749;1008442;988944;1126720;1195911;1141056;989171;830504;688124;356726;148517;42948;8746229;491324;486505;474766;474953;506528;565108;556553;558472;530707;501833;491127;557708;594272;562311;479314;393496;310951;147335;51855;11112;8941565;468017;463430;452880;453792;494850;556062;549164;555578;532042;506608;497817;569012;601639;578745;509858;437007;377174;209391;96662;31836
Prognose;2031;17718516;960036;953818;933435;927743;997220;1103519;1119165;1107085;1079244;1008134;992552;1073566;1195723;1150056;1005281;838525;708124;366228;155003;44061;8759095;491692;488528;477804;474477;504423;556427;563119;554746;539371;501675;493027;530811;593144;567069;487538;396844;319961;152027;54789;11623;8959421;468344;465290;455631;453266;492796;547092;556046;552339;539873;506458;499525;542755;602578;582988;517743;441680;388163;214201;100215;32438
Prognose;2032;17745908;960146;957074;939323;929004;993853;1086926;1129880;1099640;1090780;1015412;995220;1029258;1189702;1149440;1022993;850944;690342;411431;159183;45359;8770227;491763;490224;480879;475184;502569;548229;568000;551572;545393;505487;493665;508874;589316;567023;495909;402687;312232;172128;56903;12190;8975682;468383;466849;458444;453820;491284;538698;561880;548067;545387;509925;501555;520385;600386;582416;527084;448257;378111;239303;102279;33169
Prognose;2033;17769828;959470;959627;945062;932111;993137;1068910;1137286;1096108;1098422;1029125;995239;993908;1174634;1145943;1039142;861069;682326;446868;164885;46557;8779586;491431;491557;483876;476845;502492;538726;572156;549357;548974;512838;493760;491758;580317;565419;503793;407314;309204;187459;59595;12718;8990243;468039;468070;461186;455266;490645;530183;565131;546751;549449;516287;501479;502151;594317;580524;535349;453755;373122;259409;105290;33839
Prognose;2034;17790224;957965;961515;950296;936448;989557;1055068;1137909;1099658;1105127;1043460;992096;977471;1141886;1140663;1055223;874913;680802;468810;172894;48465;8787186;490671;492547;486610;479132;500479;531826;572523;551270;552242;520221;492281;483698;563195;562193;512000;413898;308528;197224;63162;13486;9003038;467293;468968;463686;457315;489078;523242;565386;548388;552886;523240;499815;493772;578691;578470;543223;461014;372274;271586;109732;34979
Prognose;2035;17806972;955565;962868;954890;941645;986003;1048006;1130876;1104148;1110159;1055601;994137;967624;1092601;1142416;1069166;891368;684922;482236;182335;50406;8793004;489456;493260;489010;481865;498806;528329;568547;553703;555002;526028;493511;478901;538067;562630;519144;421561;310545;203226;67186;14227;9013967;466110;469608;465880;459780;487197;519676;562329;550445;555157;529573;500626;488723;554534;579785;550023;469807;374377;279010;115149;36179
Prognose;2036;17820194;952340;963617;958780;947417;985350;1044417;1114005;1117468;1103530;1071878;993915;971249;1041474;1142723;1078077;906461;692625;494813;187493;52562;8797119;487821;493663;491045;484883;498493;526487;560263;560160;551459;534550;493409;480807;512383;561854;523818;429139;313783;208573;69470;15061;9023075;464519;469955;467735;462535;486857;517930;553741;557308;552072;537328;500507;490442;529091;580869;554259;477322;378842;286240;118024;37501
