"Personen naar door de huisarts geregistreerde diagnose; inkomen";;;;
;;;Cijfersoort;Aantal
;;;Onderwerpen;Personen met 1 of meer zorgepisodes
;;;Onderwerpen;T. Endocriene kl./metabol. /voeding
;;;Onderwerpen;Ziekten
;;;Onderwerpen;Diabetes mellitus
Perioden;Inkomensgroepen;Geslacht;Leeftijd;per 1000 personen
2006;Totaal alle inkomens;Totaal mannen en vrouwen;Totaal leeftijd;39
2006;Totaal alle inkomens;Totaal mannen en vrouwen;0 tot 15 jaar;1
2006;Totaal alle inkomens;Totaal mannen en vrouwen;15 tot 30 jaar;2
2006;Totaal alle inkomens;Totaal mannen en vrouwen;30 tot 45 jaar;8
2006;Totaal alle inkomens;Totaal mannen en vrouwen;45 tot 60 jaar;43
2006;Totaal alle inkomens;Totaal mannen en vrouwen;60 tot 75 jaar;120
2006;Totaal alle inkomens;Totaal mannen en vrouwen;75 jaar of ouder;165
2006;Totaal alle inkomens;Mannen;Totaal leeftijd;38
2006;Totaal alle inkomens;Mannen;0 tot 15 jaar;1
2006;Totaal alle inkomens;Mannen;15 tot 30 jaar;2
2006;Totaal alle inkomens;Mannen;30 tot 45 jaar;9
2006;Totaal alle inkomens;Mannen;45 tot 60 jaar;48
2006;Totaal alle inkomens;Mannen;60 tot 75 jaar;122
2006;Totaal alle inkomens;Mannen;75 jaar of ouder;158
2006;Totaal alle inkomens;Vrouwen;Totaal leeftijd;41
2006;Totaal alle inkomens;Vrouwen;0 tot 15 jaar;1
2006;Totaal alle inkomens;Vrouwen;15 tot 30 jaar;3
2006;Totaal alle inkomens;Vrouwen;30 tot 45 jaar;7
2006;Totaal alle inkomens;Vrouwen;45 tot 60 jaar;38
2006;Totaal alle inkomens;Vrouwen;60 tot 75 jaar;118
2006;Totaal alle inkomens;Vrouwen;75 jaar of ouder;169
2006;1e 10%-inkomensgroep (laag inkomen);Totaal mannen en vrouwen;Totaal leeftijd;33
2006;1e 10%-inkomensgroep (laag inkomen);Totaal mannen en vrouwen;0 tot 15 jaar;1
2006;1e 10%-inkomensgroep (laag inkomen);Totaal mannen en vrouwen;15 tot 30 jaar;2
2006;1e 10%-inkomensgroep (laag inkomen);Totaal mannen en vrouwen;30 tot 45 jaar;14
2006;1e 10%-inkomensgroep (laag inkomen);Totaal mannen en vrouwen;45 tot 60 jaar;63
2006;1e 10%-inkomensgroep (laag inkomen);Totaal mannen en vrouwen;60 tot 75 jaar;156
2006;1e 10%-inkomensgroep (laag inkomen);Totaal mannen en vrouwen;75 jaar of ouder;170
2006;1e 10%-inkomensgroep (laag inkomen);Mannen;Totaal leeftijd;31
2006;1e 10%-inkomensgroep (laag inkomen);Mannen;0 tot 15 jaar;.
2006;1e 10%-inkomensgroep (laag inkomen);Mannen;15 tot 30 jaar;2
2006;1e 10%-inkomensgroep (laag inkomen);Mannen;30 tot 45 jaar;17
