"tmp";"jaar";"herkomst";"geslacht";"leeftijd";"percentage";"aantal"
"A10 Diabetesmiddelen";"2006";"Totaal";"Totaal Mannen en vrouwen";"Totaal alle leeftijden";"625695";"3.76"
"A10 Diabetesmiddelen";"2006";"Totaal";"Totaal Mannen en vrouwen";"0 tot 15 jaar";"3964";"0.13"
"A10 Diabetesmiddelen";"2006";"Totaal";"Totaal Mannen en vrouwen";"15 tot 25 jaar";"6352";"0.32"
"A10 Diabetesmiddelen";"2006";"Totaal";"Totaal Mannen en vrouwen";"25 tot 35 jaar";"12664";"0.60"
"A10 Diabetesmiddelen";"2006";"Totaal";"Totaal Mannen en vrouwen";"35 tot 45 jaar";"35296";"1.34"
"A10 Diabetesmiddelen";"2006";"Totaal";"Totaal Mannen en vrouwen";"45 tot 55 jaar";"79644";"3.33"
"A10 Diabetesmiddelen";"2006";"Totaal";"Totaal Mannen en vrouwen";"55 tot 65 jaar";"153528";"7.46"
"A10 Diabetesmiddelen";"2006";"Totaal";"Totaal Mannen en vrouwen";"65 tot 75 jaar";"162867";"12.36"
"A10 Diabetesmiddelen";"2006";"Totaal";"Totaal Mannen en vrouwen";"75 of ouder";"171380";"14.72"
"A10 Diabetesmiddelen";"2006";"Totaal";"Mannen";"Totaal alle leeftijden";"308068";"3.74"
"A10 Diabetesmiddelen";"2006";"Totaal";"Mannen";"0 tot 15 jaar";"1995";"0.13"
"A10 Diabetesmiddelen";"2006";"Totaal";"Mannen";"15 tot 25 jaar";"3173";"0.31"
"A10 Diabetesmiddelen";"2006";"Totaal";"Mannen";"25 tot 35 jaar";"6175";"0.58"
"A10 Diabetesmiddelen";"2006";"Totaal";"Mannen";"35 tot 45 jaar";"18990";"1.42"
"A10 Diabetesmiddelen";"2006";"Totaal";"Mannen";"45 tot 55 jaar";"44769";"3.71"
"A10 Diabetesmiddelen";"2006";"Totaal";"Mannen";"55 tot 65 jaar";"87452";"8.43"
"A10 Diabetesmiddelen";"2006";"Totaal";"Mannen";"65 tot 75 jaar";"82434";"13.03"
"A10 Diabetesmiddelen";"2006";"Totaal";"Mannen";"75 of ouder";"63080";"14.59"
"A10 Diabetesmiddelen";"2006";"Totaal";"Vrouwen";"Totaal alle leeftijden";"317627";"3.78"
"A10 Diabetesmiddelen";"2006";"Totaal";"Vrouwen";"0 tot 15 jaar";"1969";"0.14"
"A10 Diabetesmiddelen";"2006";"Totaal";"Vrouwen";"15 tot 25 jaar";"3179";"0.33"
"A10 Diabetesmiddelen";"2006";"Totaal";"Vrouwen";"25 tot 35 jaar";"6489";"0.62"
"A10 Diabetesmiddelen";"2006";"Totaal";"Vrouwen";"35 tot 45 jaar";"16306";"1.25"
"A10 Diabetesmiddelen";"2006";"Totaal";"Vrouwen";"45 tot 55 jaar";"34875";"2.95"
"A10 Diabetesmiddelen";"2006";"Totaal";"Vrouwen";"55 tot 65 jaar";"66076";"6.49"
