"Perioden";"Persoonskenmerken";"Onderwerpen_1";"Arbeidspositie einde periode";"Waarde eenheid";"Waarde"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"10893"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"6959"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"392"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"3542"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"6945"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"6749"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"75"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"120"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"362"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"84"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"176"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"102"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"3587"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"125"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"142"
"2003 1e kwartaal";"Geslacht: Mannen en vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"3320"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"5507"
