"X","Onderwerpen","Indexcijfers.omzet","Omzetontwikkeling"
"Bedrijfstak/branches (SBI 2008)","Perioden","2005 = 100","%"
"H Vervoer en opslag","2005 1e kwartaal","91,4"," "
"H Vervoer en opslag","2005 2e kwartaal","100,7"," "
"H Vervoer en opslag","2005 3e kwartaal","101,5"," "
"H Vervoer en opslag","2005 4e kwartaal","106,4"," "
"H Vervoer en opslag","2005","100,0"," "
"H Vervoer en opslag","2006 1e kwartaal","99,0","8,3"
"H Vervoer en opslag","2006 2e kwartaal","106,3","5,6"
"H Vervoer en opslag","2006 3e kwartaal","105,4","3,8"
"H Vervoer en opslag","2006 4e kwartaal","110,1","3,5"
"H Vervoer en opslag","2006","105,2","5,2"
"H Vervoer en opslag","2007 1e kwartaal","105,4","6,5"
"H Vervoer en opslag","2007 2e kwartaal","114,6","7,7"
"H Vervoer en opslag","2007 3e kwartaal","115,4","9,5"
"H Vervoer en opslag","2007 4e kwartaal","119,0","8,1"
"H Vervoer en opslag","2007","113,6","8,0"
"H Vervoer en opslag","2008 1e kwartaal","111,2","5,4"
"H Vervoer en opslag","2008 2e kwartaal","120,6","5,3"
"H Vervoer en opslag","2008 3e kwartaal","119,8","3,8"
"H Vervoer en opslag","2008 4e kwartaal","119,2","0,1"
"H Vervoer en opslag","2008","117,7","3,6"
"H Vervoer en opslag","2009 1e kwartaal","99,0","-11,0"
"H Vervoer en opslag","2009 2e kwartaal","103,5","-14,2"
"H Vervoer en opslag","2009 3e kwartaal","103,7","-13,5"
"H Vervoer en opslag","2009 4e kwartaal","105,8","-11,3"
"H Vervoer en opslag","2009","103,0","-12,5"
"H Vervoer en opslag","2010 1e kwartaal","97,0","-2,0"
"H Vervoer en opslag","2010 2e kwartaal","105,7","2,1"
"H Vervoer en opslag","2010 3e kwartaal","109,0","5,1"
"H Vervoer en opslag","2010 4e kwartaal","110,9","4,9"
"H Vervoer en opslag","2010","105,6","2,6"
"H Vervoer en opslag","2011 1e kwartaal","103,1","6,3"
"H Vervoer en opslag","2011 2e kwartaal","111,9","5,9"
"H Vervoer en opslag","2011 3e kwartaal","112,3","3,1"
"H Vervoer en opslag","2011 4e kwartaal","113,2","2,1"
"H Vervoer en opslag","2011","110,2","4,3"
"H Vervoer en opslag","2012 1e kwartaal**","105,5","2,3"
"H Vervoer en opslag","2012 2e kwartaal*","115,2","2,9"
"49 Vervoer over land","2005 1e kwartaal","91,2"," "
"49 Vervoer over land","2005 2e kwartaal","101,6"," "
"49 Vervoer over land","2005 3e kwartaal","98,6"," "
"49 Vervoer over land","2005 4e kwartaal","108,6"," "
"49 Vervoer over land","2005","100,0"," "
"49 Vervoer over land","2006 1e kwartaal","100,7","10,3"
"49 Vervoer over land","2006 2e kwartaal","112,2","10,5"
"49 Vervoer over land","2006 3e kwartaal","108,3","9,8"
"49 Vervoer over land","2006 4e kwartaal","117,0","7,7"
"49 Vervoer over land","2006","109,5","9,5"
"49 Vervoer over land","2007 1e kwartaal","110,0","9,3"
"49 Vervoer over land","2007 2e kwartaal","120,7","7,6"
"49 Vervoer over land","2007 3e kwartaal","116,5","7,6"
"49 Vervoer over land","2007 4e kwartaal","123,4","5,5"
"49 Vervoer over land","2007","117,7","7,4"
"49 Vervoer over land","2008 1e kwartaal","116,8","6,2"
"49 Vervoer over land","2008 2e kwartaal","127,4","5,5"
"49 Vervoer over land","2008 3e kwartaal","123,4","6,0"
"49 Vervoer over land","2008 4e kwartaal","125,2","1,4"
"49 Vervoer over land","2008","123,2","4,7"
"49 Vervoer over land","2009 1e kwartaal","107,7","-7,8"
"49 Vervoer over land","2009 2e kwartaal","115,5","-9,4"
"49 Vervoer over land","2009 3e kwartaal","110,5","-10,5"
"49 Vervoer over land","2009 4e kwartaal","116,9","-6,6"
"49 Vervoer over land","2009","112,6","-8,6"
"49 Vervoer over land","2010 1e kwartaal","105,2","-2,3"
"49 Vervoer over land","2010 2e kwartaal","117,1","1,4"
"49 Vervoer over land","2010 3e kwartaal","114,7","3,8"
"49 Vervoer over land","2010 4e kwartaal","123,9","5,9"
"49 Vervoer over land","2010","115,2","2,3"
"49 Vervoer over land","2011 1e kwartaal","114,4","8,8"
"49 Vervoer over land","2011 2e kwartaal","123,6","5,6"
"49 Vervoer over land","2011 3e kwartaal","118,4","3,3"
"49 Vervoer over land","2011 4e kwartaal","123,0","-0,7"
"49 Vervoer over land","2011","119,9","4,1"
"49 Vervoer over land","2012 1e kwartaal**","113,0","-1,2"
"49 Vervoer over land","2012 2e kwartaal*","125,8","1,7"
"493 Personenvervoer over de weg","2005 1e kwartaal","94,2"," "
"493 Personenvervoer over de weg","2005 2e kwartaal","105,8"," "
"493 Personenvervoer over de weg","2005 3e kwartaal","97,0"," "
"493 Personenvervoer over de weg","2005 4e kwartaal","103,0"," "
"493 Personenvervoer over de weg","2005","100,0"," "
"493 Personenvervoer over de weg","2006 1e kwartaal","94,1","-0,2"
"493 Personenvervoer over de weg","2006 2e kwartaal","106,6","0,8"
"493 Personenvervoer over de weg","2006 3e kwartaal","100,1","3,1"
"493 Personenvervoer over de weg","2006 4e kwartaal","101,7","-1,2"
"493 Personenvervoer over de weg","2006","100,6","0,6"
"493 Personenvervoer over de weg","2007 1e kwartaal","101,1","7,5"
"493 Personenvervoer over de weg","2007 2e kwartaal","113,4","6,4"
"493 Personenvervoer over de weg","2007 3e kwartaal","107,8","7,7"
"493 Personenvervoer over de weg","2007 4e kwartaal","116,4","14,4"
"493 Personenvervoer over de weg","2007","109,7","9,0"
"493 Personenvervoer over de weg","2008 1e kwartaal","110,2","9,0"
"493 Personenvervoer over de weg","2008 2e kwartaal","120,3","6,0"
"493 Personenvervoer over de weg","2008 3e kwartaal","115,5","7,2"
"493 Personenvervoer over de weg","2008 4e kwartaal","122,0","4,8"
"493 Personenvervoer over de weg","2008","117,0","6,7"
"493 Personenvervoer over de weg","2009 1e kwartaal","118,1","7,1"
"493 Personenvervoer over de weg","2009 2e kwartaal","129,6","7,8"
"493 Personenvervoer over de weg","2009 3e kwartaal","120,4","4,2"
"493 Personenvervoer over de weg","2009 4e kwartaal","128,8","5,6"
"493 Personenvervoer over de weg","2009","124,2","6,2"
"493 Personenvervoer over de weg","2010 1e kwartaal","122,1","3,4"
"493 Personenvervoer over de weg","2010 2e kwartaal","129,1","-0,4"
"493 Personenvervoer over de weg","2010 3e kwartaal","122,8","2,0"
"493 Personenvervoer over de weg","2010 4e kwartaal","130,4","1,2"
"493 Personenvervoer over de weg","2010","126,1","1,5"
