"Van";"Naar";"Persoonskenmerken";"Perioden";"Waarde eenheid";"Waarde"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2003 1e kwartaal";"x 1 000";"10893"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2003 2e kwartaal";"x 1 000";"10906"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2003 3e kwartaal";"x 1 000";"10906"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2003 4e kwartaal";"x 1 000";"10913"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2004 1e kwartaal";"x 1 000";"10919"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2004 2e kwartaal";"x 1 000";"10923"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2004 3e kwartaal";"x 1 000";"10927"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2004 4e kwartaal";"x 1 000";"10931"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2005 1e kwartaal";"x 1 000";"10935"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2005 2e kwartaal";"x 1 000";"10938"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2005 3e kwartaal";"x 1 000";"10941"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2005 4e kwartaal";"x 1 000";"10945"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2006 1e kwartaal";"x 1 000";"10948"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2006 2e kwartaal";"x 1 000";"10950"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2006 3e kwartaal";"x 1 000";"10951"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2006 4e kwartaal";"x 1 000";"10956"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2007 1e kwartaal";"x 1 000";"10960"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2007 2e kwartaal";"x 1 000";"10965"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2007 3e kwartaal";"x 1 000";"10971"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2007 4e kwartaal";"x 1 000";"10976"
