"Onderwerpen_1";"Onderwerpen_2";"Onderwerpen_3";"Onderwerpen_4";"Perioden";"Sectoren";"Balansposten";"Totaal energieaanbod";"Totaal energieverbruik"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Nederland totaal";"PJ";"2965.09";"2965.08"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Energiesector";"PJ";"561.79";"561.77"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"06 Winning van aardolie en aardgas";"PJ";"27.95";"27.95"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Cokesfabrieken";"PJ";"16.13";"16.12"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"192 Aardolie-industrie";"PJ";"172.20";"172.20"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"35 Energiebedrijven";"PJ";"345.51";"345.51"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Totaal energieafnemers";"PJ";"2403.30";"2403.31"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Nijverheid (geen energiesector)";"PJ";"1047.30";"1047.30"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"08 Delfstoffenwinning (geen olie en gas)";"PJ";"2.03";"2.03"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"10-12 Voedings-, genotmiddelenindustrie";"PJ";"92.55";"92.55"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"13-15 Textiel-, kleding-, lederindustrie";"PJ";"8.89";"8.89"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"16 Houtindustrie";"PJ";"3.92";"3.92"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"17-18 Papier- en grafische industrie";"PJ";"38.51";"38.51"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"20-21 Chemie en farmaceutische industrie";"PJ";"639.72";"639.72"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Basischemie zonder 2013-2015";"PJ";"32.76";"32.76"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"2013 Overige anorganische basischemie";"PJ";"23.72";"23.72"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"2014 Overige organische basischemie";"PJ";"444.08";"444.08"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"2015 Kunstmestindustrie";"PJ";"115.86";"115.86"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Chemische en farmaceutische producten";"PJ";"23.31";"23.31"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"23 Bouwmaterialenindustrie";"PJ";"35.76";"35.76"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"24 Basismetaalindustrie";"PJ";"126.68";"126.68"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"IJzer- en staalindustrie";"PJ";"101.48";"101.48"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Non-ferrometalenindustrie";"PJ";"25.20";"25.20"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"25-28 Metaalproducten/machine-industrie";"PJ";"40.89";"40.89"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"29-30 Transportmiddelenindustrie";"PJ";"5.57";"5.57"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"31-33 Overige industrie en reparatie";"PJ";"17.94";"17.94"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"F Bouwnijverheid";"PJ";"34.84";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Vervoer";"PJ";"420.75";"420.75"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Railverkeer";"PJ";"7.35";"7.35"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Wegverkeer";"PJ";"400.60";"400.60"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Scheepvaart";"PJ";"7.38";"7.38"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Luchtvaart";"PJ";"5.43";"5.43"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Particuliere huishoudens";"PJ";"454.94";"454.94"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Landbouw, visserij en dienstverlening";"PJ";"480.30";"480.31"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Landbouw";"PJ";"176.17";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"Visserij";"PJ";"-";"-"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"E Waterbedrijven en afvalbeheer";"PJ";"32.65";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1995";"G-U Dienstverlening";"PJ";"271.48";"."
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Nederland totaal";"PJ";"3103.95";"3103.93"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Energiesector";"PJ";"567.20";"567.17"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"06 Winning van aardolie en aardgas";"PJ";"33.63";"33.63"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Cokesfabrieken";"PJ";"17.30";"17.27"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"192 Aardolie-industrie";"PJ";"173.81";"173.81"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"35 Energiebedrijven";"PJ";"342.46";"342.46"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Totaal energieafnemers";"PJ";"2536.76";"2536.76"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Nijverheid (geen energiesector)";"PJ";"1030.70";"1030.70"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"08 Delfstoffenwinning (geen olie en gas)";"PJ";"2.00";"2.00"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"10-12 Voedings-, genotmiddelenindustrie";"PJ";"102.89";"102.89"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"13-15 Textiel-, kleding-, lederindustrie";"PJ";"9.33";"9.33"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"16 Houtindustrie";"PJ";"3.98";"3.98"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"17-18 Papier- en grafische industrie";"PJ";"41.69";"41.69"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"20-21 Chemie en farmaceutische industrie";"PJ";"606.29";"606.29"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"Basischemie zonder 2013-2015";"PJ";"36.26";"36.26"
"Energiedragers in petajoule";"Totaal energiedragers";"Totaal energiedragers";"Totaal energiedragers";"1996";"2013 Overige anorganische basischemie";"PJ";"22.92";"22.92"
