"";"Onderwerpen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen"
"A-U Alle economische activiteiten";"1988";"416649";"215786";"200863";"291736";".";".";".";"70.2";"71.4";"68.9"
"A-U Alle economische activiteiten";"1989";"447102";"234610";"212492";"303873";"4.8";"5.4";"4.2";"71.9";"73.7";"69.9"
"A-U Alle economische activiteiten";"1990";"469683";"245851";"223832";"315701";"4.1";"4.3";"3.9";"72.5";"74.0";"70.9"
"A-U Alle economische activiteiten";"1991";"496939";"260010";"236929";"323489";"3.3";"4.0";"2.5";"74.3";"75.3";"73.2"
"A-U Alle economische activiteiten";"1992";"511975";"265760";"246215";"328190";"1.6";"1.8";"1.5";"75.3";"75.5";"75.0"
"A-U Alle economische activiteiten";"1993";"518849";"266048";"252801";"332063";"0.8";"0.4";"1.2";"75.7";"75.3";"76.1"
"A-U Alle economische activiteiten";"1994";"544625";"280144";"264481";"341340";"3.1";"3.4";"2.8";"77.1";"76.7";"77.5"
"A-U Alle economische activiteiten";"1995";"572834";"297148";"275686";"351455";"3.5";"4.0";"3.0";"78.3";"78.2";"78.4"
"A-U Alle economische activiteiten";"1996";"605959";"318880";"287079";"362089";"4.2";"5.2";"3.0";"79.6";"79.8";"79.3"
"A-U Alle economische activiteiten";"1997";"649628";"343089";"306539";"377338";"4.9";"5.6";"4.2";"81.3";"81.3";"81.2"
"A-U Alle economische activiteiten";"1998";"683977";"359950";"324027";"391624";"4.8";"5.6";"3.8";"81.7";"80.7";"82.7"
"A-U Alle economische activiteiten";"1999";"728317";"383982";"344335";"409455";"4.8";"5.0";"4.6";"83.0";"82.0";"84.1"
"A-U Alle economische activiteiten";"2000";"804906";"431491";"373415";"425829";"4.7";"5.3";"4.0";"87.6";"87.5";"87.7"
"A-U Alle economische activiteiten";"2001";"851895";"454339";"397556";"433798";"1.9";"1.9";"1.9";"91.0";"90.4";"91.6"
"A-U Alle economische activiteiten";"2002";"869151";"454777";"414374";"434620";"-0.8";"-1.6";"0.2";"93.5";"91.9";"95.3"
"A-U Alle economische activiteiten";"2003";"882248";"456992";"425256";"436743";"-0.6";"-1.6";"0.5";"95.5";"93.9";"97.4"
"A-U Alle economische activiteiten";"2004";"912631";"475757";"436874";"446904";"1.9";"1.5";"2.3";"97.0";"96.2";"97.8"
"A-U Alle economische activiteiten";"2005";"960793";"504611";"456182";"456182";"2.1";"2.1";"2.1";"100.0";"100.0";"100.0"
"A-U Alle economische activiteiten";"2006";"1020578";"541566";"479012";"471376";"3.6";"3.9";"3.3";"102.5";"103.3";"101.6"
"A-U Alle economische activiteiten";"2007";"1084270";"576620";"507650";"490102";"4.1";"4.2";"4.0";"104.6";"105.6";"103.6"
"A-U Alle economische activiteiten";"2008";"1148128";"619889";"528239";"500273";"2.0";"1.9";"2.1";"108.7";"111.4";"105.6"
"A-U Alle economische activiteiten";"2009";"1095141";"584289";"510852";"483757";"-3.7";"-4.1";"-3.3";"107.7";"109.5";"105.6"
