"Onderwerpen_1";"Onderwerpen_2";"Onderwerpen_3";"Politieregio";"Perioden";"Cijfersoort";"Waarde eenheid";"Waarde"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Nederland";"2008";"Waarde";"% 'komt vaak voor'";"11.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Nederland";"2009";"Waarde";"% 'komt vaak voor'";"11.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Nederland";"2010";"Waarde";"% 'komt vaak voor'";"11.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Nederland";"2011";"Waarde";"% 'komt vaak voor'";"10.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Groningen (PO)";"2008";"Waarde";"% 'komt vaak voor'";"10.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Groningen (PO)";"2009";"Waarde";"% 'komt vaak voor'";"9.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Groningen (PO)";"2010";"Waarde";"% 'komt vaak voor'";"5.6"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Groningen (PO)";"2011";"Waarde";"% 'komt vaak voor'";"8.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Friesland (PO)";"2008";"Waarde";"% 'komt vaak voor'";"7.6"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Friesland (PO)";"2009";"Waarde";"% 'komt vaak voor'";"6.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Friesland (PO)";"2010";"Waarde";"% 'komt vaak voor'";"5.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Friesland (PO)";"2011";"Waarde";"% 'komt vaak voor'";"6.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Drenthe (PO)";"2008";"Waarde";"% 'komt vaak voor'";"6.6"
