"Politieregio's";"Perioden";"Voelt zich wel eens onveilig";"Voelt zich vaak onveilig";"Voelt zich wel eens onveilig in eigen buurt ";"Voelt zich vaak onveilig in eigen buurt";"Voelt zich 's avonds in buurt onveilig";"Voelt zich 's avonds niet op gemak";"Ingeschatte kans op woninginbraak";"Ingeschatte kans op mishandeling";"Ingeschatte kans op portemonneediefstal"
"Nederland";"2008";"25.5";"2.1";"15.4";"1.8";"4.0";"2.5";"5.3";"1.5";"5.5"
"Nederland";"2009";"25.8";"2.4";"17.0";"2.0";"4.3";"2.4";"5.8";"1.7";"5.3"
"Nederland";"2010";"26.3";"2.4";"16.5";"1.9";"4.4";"2.6";"5.6";"1.9";"5.0"
"Nederland";"2011";"25.2";"2.5";"17.2";"2.1";"4.3";"2.8";"6.9";"1.7";"5.2"
"Groningen (PO)";"2008";"24.8";"1.5";"15.2";"2.0";"3.4";"1.9";"3.6";"1.8";"2.9"
"Groningen (PO)";"2009";"25.2";"1.9";"15.4";"1.6";"3.2";"3.0";"3.7";"1.4";"4.4"
"Groningen (PO)";"2010";"21.0";"1.1";"13.8";"1.0";"2.2";"1.8";"3.3";"0.5";"1.2"
"Groningen (PO)";"2011";"23.3";"1.8";"14.6";"2.0";"4.4";"2.1";"4.2";"0.8";"3.5"
"Friesland (PO)";"2008";"22.0";"0.6";"10.8";"0.4";"2.3";"2.2";"3.9";"0.4";"1.6"
"Friesland (PO)";"2009";"19.9";"1.6";"10.9";"1.2";"2.8";"1.6";"2.3";"0.9";"2.1"
"Friesland (PO)";"2010";"18.7";"1.4";"8.4";"1.0";"1.7";"2.1";"2.5";"0.9";"2.4"
"Friesland (PO)";"2011";"19.0";"1.1";"9.5";"0.9";"2.4";"2.5";"2.3";"0.7";"1.5"
"Drenthe (PO)";"2008";"18.5";"0.7";"9.8";"1.7";"3.7";"2.1";"1.6";"0.7";"2.4"
"Drenthe (PO)";"2009";"19.5";"1.2";"11.9";"0.7";"2.1";"1.3";"2.7";"1.3";"2.9"
"Drenthe (PO)";"2010";"18.0";"1.3";"10.4";"1.5";"2.7";"1.3";"1.9";"0.7";"2.9"
"Drenthe (PO)";"2011";"17.9";"1.3";"10.7";"1.2";"2.3";"1.6";"3.1";"0.5";"3.4"
"IJsselland (PO)";"2008";"20.9";"0.7";"11.2";"0.9";"1.4";"0.8";"1.8";"0.9";"3.3"
"IJsselland (PO)";"2009";"19.6";"1.7";"12.3";"1.3";"2.0";"1.8";"3.2";"1.0";"4.5"
"IJsselland (PO)";"2010";"21.5";"1.1";"11.3";"0.9";"1.9";"1.5";"2.7";"1.7";"3.1"
"IJsselland (PO)";"2011";"19.1";"1.0";"11.4";"0.8";"2.0";"1.6";"4.3";"0.6";"2.8"
"Twente (PO)";"2008";"19.7";"1.4";"10.4";"1.0";"2.5";"2.2";"2.4";"1.2";"4.8"
"Twente (PO)";"2009";"20.4";"1.2";"12.6";"1.1";"3.2";"2.2";"3.5";"1.1";"3.1"
"Twente (PO)";"2010";"19.2";"0.9";"11.4";"0.7";"2.6";"1.9";"3.0";"0.4";"3.3"
"Twente (PO)";"2011";"21.0";"1.7";"14.3";"1.6";"2.3";"1.8";"4.7";"1.2";"4.0"
"Noord- en Oost-Gelderland (PO)";"2008";"18.5";"0.9";"8.6";"0.6";"1.4";"0.6";"3.2";"0.4";"3.7"
"Noord- en Oost-Gelderland (PO)";"2009";"19.8";"1.9";"11.9";"1.4";"2.2";"1.9";"3.1";"0.7";"2.9"
"Noord- en Oost-Gelderland (PO)";"2010";"18.8";"1.8";"10.6";"0.9";"2.8";"2.3";"4.3";"0.9";"3.7"
"Noord- en Oost-Gelderland (PO)";"2011";"18.5";"0.7";"9.3";"0.4";"1.9";"2.0";"3.4";"0.6";"3.1"
"Gelderland-Midden (PO)";"2008";"27.5";"1.7";"12.4";"1.5";"1.5";"1.7";"3.6";"0.6";"3.9"
"Gelderland-Midden (PO)";"2009";"26.8";"2.4";"16.4";"2.0";"3.9";"2.6";"5.8";"1.5";"4.2"
"Gelderland-Midden (PO)";"2010";"28.0";"2.6";"15.4";"1.9";"4.0";"2.1";"5.9";"2.3";"5.3"
"Gelderland-Midden (PO)";"2011";"25.8";"2.7";"17.7";"2.7";"3.7";"3.0";"7.3";"1.4";"5.5"
"Gelderland-Zuid (PO)";"2008";"24.3";"2.7";"14.4";"1.7";"3.7";"2.3";"5.4";"1.5";"6.6"
"Gelderland-Zuid (PO)";"2009";"24.0";"1.6";"14.9";"1.3";"2.9";"1.9";"6.1";"1.0";"4.4"
"Gelderland-Zuid (PO)";"2010";"25.8";"2.7";"14.6";"1.1";"3.5";"2.6";"5.7";"2.1";"5.1"
"Gelderland-Zuid (PO)";"2011";"28.2";"3.0";"18.8";"2.1";"4.1";"2.0";"7.1";"1.8";"5.9"
"Utrecht (PO)";"2008";"29.1";"2.7";"18.6";"2.2";"5.6";"2.0";"7.4";"1.7";"6.1"
"Utrecht (PO)";"2009";"28.4";"2.8";"18.3";"2.3";"4.0";"1.8";"7.4";"2.2";"5.9"
"Utrecht (PO)";"2010";"28.0";"1.2";"16.9";"1.1";"4.3";"2.2";"5.3";"1.1";"4.6"
"Utrecht (PO)";"2011";"27.5";"2.5";"17.8";"2.3";"2.9";"3.4";"9.1";"2.2";"5.1"
"Noord-Holland-Noord (PO)";"2008";"22.4";"2.3";"12.2";"1.5";"2.9";"1.9";"4.3";"2.0";"6.5"
