quarter,personal_characteristics,position_begin,position_end,number_of_persons
2003-1,TOTAL,TOTAL,TOTAL,10893
2003-1,TOTAL,TOTAL,employed,6959
2003-1,TOTAL,TOTAL,unemployed,392
2003-1,TOTAL,TOTAL,non labourforce,3542
2003-1,TOTAL,employed,TOTAL,6945
2003-1,TOTAL,employed,employed,6749
2003-1,TOTAL,employed,unemployed,75
2003-1,TOTAL,employed,non labourforce,120
2003-1,TOTAL,unemployed,TOTAL,362
2003-1,TOTAL,unemployed,employed,84
2003-1,TOTAL,unemployed,unemployed,176
2003-1,TOTAL,unemployed,non labourforce,102
2003-1,TOTAL,non labourforce,TOTAL,3587
2003-1,TOTAL,non labourforce,employed,125
2003-1,TOTAL,non labourforce,unemployed,142
2003-1,TOTAL,non labourforce,non labourforce,3320
2003-1,Gender: male,TOTAL,TOTAL,5507
2003-1,Gender: male,TOTAL,employed,4122
2003-1,Gender: male,TOTAL,unemployed,193
2003-1,Gender: male,TOTAL,non labourforce,1192
2003-1,Gender: male,employed,TOTAL,4109
2003-1,Gender: male,employed,employed,4015
2003-1,Gender: male,employed,unemployed,40
2003-1,Gender: male,employed,non labourforce,54
2003-1,Gender: male,unemployed,TOTAL,187
2003-1,Gender: male,unemployed,employed,48
2003-1,Gender: male,unemployed,unemployed,95
2003-1,Gender: male,unemployed,non labourforce,43
2003-1,Gender: male,non labourforce,TOTAL,1212
2003-1,Gender: male,non labourforce,employed,59
2003-1,Gender: male,non labourforce,unemployed,58
2003-1,Gender: male,non labourforce,non labourforce,1094
2003-1,Gender: female,TOTAL,TOTAL,5385
2003-1,Gender: female,TOTAL,employed,2836
2003-1,Gender: female,TOTAL,unemployed,199
2003-1,Gender: female,TOTAL,non labourforce,2350
2003-1,Gender: female,employed,TOTAL,2836
2003-1,Gender: female,employed,employed,2734
2003-1,Gender: female,employed,unemployed,35
2003-1,Gender: female,employed,non labourforce,66
2003-1,Gender: female,unemployed,TOTAL,175
2003-1,Gender: female,unemployed,employed,36
2003-1,Gender: female,unemployed,unemployed,81
2003-1,Gender: female,unemployed,non labourforce,58
2003-1,Gender: female,non labourforce,TOTAL,2375
2003-1,Gender: female,non labourforce,employed,66
2003-1,Gender: female,non labourforce,unemployed,83
2003-1,Gender: female,non labourforce,non labourforce,2226
2003-1,Age: 15-25 years,TOTAL,TOTAL,1927
2003-1,Age: 15-25 years,TOTAL,employed,837
2003-1,Age: 15-25 years,TOTAL,unemployed,98
2003-1,Age: 15-25 years,TOTAL,non labourforce,992
