geslacht,generatie,leeftijd,participatie
vrouw,1906-1910,16,
vrouw,1911-1915,16,
vrouw,1916-1920,16,
vrouw,1921-1925,16,
vrouw,1926-1930,16,
vrouw,1931-1935,16,
vrouw,1936-1940,16,
vrouw,1941-1945,16,
vrouw,1946-1950,16,
vrouw,1951-1955,16,38.3
vrouw,1956-1960,16,27
vrouw,1961-1965,16,6.5
vrouw,1966-1970,16,2.7
vrouw,1971-1975,16,6.5
vrouw,1976-1980,16,6.2
vrouw,1981-1985,16,11.1
vrouw,1986-1990,16,9.9
man,1906-1910,16,
man,1911-1915,16,
man,1916-1920,16,
man,1921-1925,16,
man,1926-1930,16,
man,1931-1935,16,
man,1936-1940,16,
man,1941-1945,16,
man,1946-1950,16,
man,1951-1955,16,27.7
man,1956-1960,16,19.9
man,1961-1965,16,7
man,1966-1970,16,2.7
man,1971-1975,16,8.4
man,1976-1980,16,8.3
man,1981-1985,16,12.4
man,1986-1990,16,11.5
vrouw,1906-1910,17,
vrouw,1911-1915,17,
vrouw,1916-1920,17,
vrouw,1921-1925,17,
vrouw,1926-1930,17,
vrouw,1931-1935,17,
vrouw,1936-1940,17,
vrouw,1941-1945,17,
vrouw,1946-1950,17,
vrouw,1951-1955,17,54.3
vrouw,1956-1960,17,41.2
vrouw,1961-1965,17,18.9
vrouw,1966-1970,17,13
vrouw,1971-1975,17,13.6
vrouw,1976-1980,17,12.4
vrouw,1981-1985,17,19.9
vrouw,1986-1990,17,18.1
man,1906-1910,17,
man,1911-1915,17,
man,1916-1920,17,
man,1921-1925,17,
man,1926-1930,17,
man,1931-1935,17,
man,1936-1940,17,
man,1941-1945,17,
man,1946-1950,17,
man,1951-1955,17,45.5
man,1956-1960,17,33.8
man,1961-1965,17,19.7
man,1966-1970,17,13.6
man,1971-1975,17,17.4
man,1976-1980,17,17.7
man,1981-1985,17,27.3
man,1986-1990,17,23.4
vrouw,1906-1910,18,
vrouw,1911-1915,18,
vrouw,1916-1920,18,
vrouw,1921-1925,18,
vrouw,1926-1930,18,
vrouw,1931-1935,18,
vrouw,1936-1940,18,
vrouw,1941-1945,18,
vrouw,1946-1950,18,
vrouw,1951-1955,18,63.8
vrouw,1956-1960,18,53.7
vrouw,1961-1965,18,33.3
vrouw,1966-1970,18,25.3
vrouw,1971-1975,18,22.9
vrouw,1976-1980,18,22.7
vrouw,1981-1985,18,31.6
vrouw,1986-1990,18,27
man,1906-1910,18,
man,1911-1915,18,
