gender,age,year,prognosis
Male,00-05,2011,471224
Female,00-05,2011,449468
TOTAL,00-05,2011,920692
Male,05-10,2011,503833
Female,05-10,2011,481119
TOTAL,05-10,2011,984951
Male,10-15,2011,511049
Female,10-15,2011,487904
TOTAL,10-15,2011,998953
Male,15-20,2011,514797
Female,15-20,2011,492087
TOTAL,15-20,2011,1006884
Male,20-25,2011,522895
Female,20-25,2011,510624
TOTAL,20-25,2011,1033519
Male,25-30,2011,504698
Female,25-30,2011,497314
TOTAL,25-30,2011,1002012
Male,30-35,2011,504344
Female,30-35,2011,501441
TOTAL,30-35,2011,1005785
Male,35-40,2011,561192
Female,35-40,2011,561261
TOTAL,35-40,2011,1122453
Male,40-45,2011,654113
Female,40-45,2011,642135
TOTAL,40-45,2011,1296248
Male,45-50,2011,655448
Female,45-50,2011,642863
TOTAL,45-50,2011,1298311
Male,50-55,2011,600816
Female,50-55,2011,595157
TOTAL,50-55,2011,1195973
Male,55-60,2011,547009
Female,55-60,2011,543425
TOTAL,55-60,2011,1090433
Male,60-65,2011,553282
Female,60-65,2011,550016
TOTAL,60-65,2011,1103299
Male,65-70,2011,390922
Female,65-70,2011,399775
TOTAL,65-70,2011,790697
Male,70-75,2011,302317
Female,70-75,2011,334943
TOTAL,70-75,2011,637260
Male,75-80,2011,219265
Female,75-80,2011,280306
TOTAL,75-80,2011,499571
Male,80-85,2011,139167
Female,80-85,2011,221418
TOTAL,80-85,2011,360585
Male,85-90,2011,67012
Female,85-90,2011,144990
TOTAL,85-90,2011,212002
Male,90-95,2011,18845
Female,90-95,2011,57504
TOTAL,90-95,2011,76349
Male,95+,2011,3246
Female,95+,2011,15232
TOTAL,95+,2011,18478
Male,TOTAL,2011,8245473
Female,TOTAL,2011,8408981
TOTAL,TOTAL,2011,16654454
Male,00-05,2012,469386
Female,00-05,2012,447980
TOTAL,00-05,2012,917367
Male,05-10,2012,495666
Female,05-10,2012,472766
TOTAL,05-10,2012,968433
Male,10-15,2012,515962
Female,10-15,2012,493932
TOTAL,10-15,2012,1009894
Male,15-20,2012,511177
Female,15-20,2012,487220
TOTAL,15-20,2012,998397
Male,20-25,2012,530621
Female,20-25,2012,517639
TOTAL,20-25,2012,1048260
Male,25-30,2012,510425
Female,25-30,2012,502275
TOTAL,25-30,2012,1012700
Male,30-35,2012,506955
Female,30-35,2012,504646
TOTAL,30-35,2012,1011601
Male,35-40,2012,536946
Female,35-40,2012,537348
TOTAL,35-40,2012,1074293
Male,40-45,2012,649463
Female,40-45,2012,640023
TOTAL,40-45,2012,1289486
Male,45-50,2012,655412
Female,45-50,2012,642079
TOTAL,45-50,2012,1297490
Male,50-55,2012,610388
Female,50-55,2012,605412
TOTAL,50-55,2012,1215801
Male,55-60,2012,553624
Female,55-60,2012,550964
TOTAL,55-60,2012,1104588
Male,60-65,2012,535972
Female,60-65,2012,534054
TOTAL,60-65,2012,1070026
Male,65-70,2012,432872
Female,65-70,2012,440878
TOTAL,65-70,2012,873751
Male,70-75,2012,309661
Female,70-75,2012,339688
TOTAL,70-75,2012,649349
Male,75-80,2012,224373
Female,75-80,2012,282153
TOTAL,75-80,2012,506526
Male,80-85,2012,144218
Female,80-85,2012,224211
TOTAL,80-85,2012,368429
Male,85-90,2012,69368
Female,85-90,2012,146126
TOTAL,85-90,2012,215495
Male,90-95,2012,20789
Female,90-95,2012,61326
TOTAL,90-95,2012,82115
Male,95+,2012,3402
Female,95+,2012,15720
TOTAL,95+,2012,19121
Male,TOTAL,2012,8286680
Female,TOTAL,2012,8446441
TOTAL,TOTAL,2012,16733121
Male,00-05,2013,469251
Female,00-05,2013,447263
TOTAL,00-05,2013,916514
Male,05-10,2013,486027
Female,05-10,2013,464285
TOTAL,05-10,2013,950312
Male,10-15,2013,520247
Female,10-15,2013,497181
TOTAL,10-15,2013,1017429
Male,15-20,2013,508221
Female,15-20,2013,485512
TOTAL,15-20,2013,993733
Male,20-25,2013,535545
Female,20-25,2013,522872
TOTAL,20-25,2013,1058418
Male,25-30,2013,519228
Female,25-30,2013,510089
TOTAL,25-30,2013,1029318
Male,30-35,2013,509004
Female,30-35,2013,505703
TOTAL,30-35,2013,1014707
Male,35-40,2013,518234
Female,35-40,2013,518013
TOTAL,35-40,2013,1036247
Male,40-45,2013,639254
Female,40-45,2013,633782
TOTAL,40-45,2013,1273035
Male,45-50,2013,653233
Female,45-50,2013,639800
TOTAL,45-50,2013,1293033
Male,50-55,2013,619742
Female,50-55,2013,614592
TOTAL,50-55,2013,1234334
Male,55-60,2013,558320
Female,55-60,2013,556987
TOTAL,55-60,2013,1115307
Male,60-65,2013,526662
Female,60-65,2013,524948
TOTAL,60-65,2013,1051610
Male,65-70,2013,466336
Female,65-70,2013,475231
TOTAL,65-70,2013,941566
Male,70-75,2013,319730
Female,70-75,2013,347373
TOTAL,70-75,2013,667103
Male,75-80,2013,228778
Female,75-80,2013,283280
TOTAL,75-80,2013,512059
Male,80-85,2013,149772
Female,80-85,2013,228239
TOTAL,80-85,2013,378011
Male,85-90,2013,71853
Female,85-90,2013,146952
TOTAL,85-90,2013,218805
Male,90-95,2013,22512
Female,90-95,2013,64583
TOTAL,90-95,2013,87095
Male,95+,2013,3594
Female,95+,2013,16302
TOTAL,95+,2013,19896
Male,TOTAL,2013,8325542
Female,TOTAL,2013,8482988
TOTAL,TOTAL,2013,16808530
Male,00-05,2014,466811
Female,00-05,2014,445397
TOTAL,00-05,2014,912208
Male,05-10,2014,478870
Female,05-10,2014,457152
TOTAL,05-10,2014,936022
Male,10-15,2014,520446
Female,10-15,2014,497367
TOTAL,10-15,2014,1017812
Male,15-20,2014,509825
Female,15-20,2014,486853
TOTAL,15-20,2014,996678
Male,20-25,2014,539159
Female,20-25,2014,526644
TOTAL,20-25,2014,1065804
Male,25-30,2014,527785
Female,25-30,2014,518386
TOTAL,25-30,2014,1046172
Male,30-35,2014,508728
Female,30-35,2014,504785
TOTAL,30-35,2014,1013513
Male,35-40,2014,509636
Female,35-40,2014,509406
TOTAL,35-40,2014,1019042
Male,40-45,2014,619481
Female,40-45,2014,616860
TOTAL,40-45,2014,1236342
Male,45-50,2014,649049
Female,45-50,2014,637378
TOTAL,45-50,2014,1286427
Male,50-55,2014,629298
Female,50-55,2014,623290
TOTAL,50-55,2014,1252589
Male,55-60,2014,565891
Female,55-60,2014,565168
TOTAL,55-60,2014,1131059
Male,60-65,2014,522033
Female,60-65,2014,522101
TOTAL,60-65,2014,1044134
Male,65-70,2014,488163
Female,65-70,2014,496993
TOTAL,65-70,2014,985156
Male,70-75,2014,331544
Female,70-75,2014,357381
TOTAL,70-75,2014,688925
Male,75-80,2014,237247
Female,75-80,2014,289140
TOTAL,75-80,2014,526388
Male,80-85,2014,153764
Female,80-85,2014,229387
TOTAL,80-85,2014,383152
Male,85-90,2014,74722
Female,85-90,2014,148469
TOTAL,85-90,2014,223191
Male,90-95,2014,24290
Female,90-95,2014,68352
TOTAL,90-95,2014,92641
Male,95+,2014,3762
Female,95+,2014,16739
TOTAL,95+,2014,20501
Male,TOTAL,2014,8360505
Female,TOTAL,2014,8517249
TOTAL,TOTAL,2014,16877754
Male,00-05,2015,464641
Female,00-05,2015,443150
TOTAL,00-05,2015,907790
Male,05-10,2015,474939
Female,05-10,2015,453219
TOTAL,05-10,2015,928158
Male,10-15,2015,515946
Female,10-15,2015,493930
TOTAL,10-15,2015,1009876
Male,15-20,2015,511763
Female,15-20,2015,488478
TOTAL,15-20,2015,1000241
Male,20-25,2015,541877
Female,20-25,2015,528803
TOTAL,20-25,2015,1070680
Male,25-30,2015,534027
Female,25-30,2015,525632
TOTAL,25-30,2015,1059659
Male,30-35,2015,511048
Female,30-35,2015,506504
TOTAL,30-35,2015,1017551
Male,35-40,2015,504578
Female,35-40,2015,504133
TOTAL,35-40,2015,1008711
Male,40-45,2015,590431
Female,40-45,2015,590660
TOTAL,40-45,2015,1181091
Male,45-50,2015,648589
Female,45-50,2015,638364
TOTAL,45-50,2015,1286953
Male,50-55,2015,637487
Female,50-55,2015,630806
TOTAL,50-55,2015,1268293
Male,55-60,2015,574834
Female,55-60,2015,575102
TOTAL,55-60,2015,1149936
Male,60-65,2015,522411
Female,60-65,2015,523619
TOTAL,60-65,2015,1046031
Male,65-70,2015,502169
Female,65-70,2015,511051
TOTAL,65-70,2015,1013220
Male,70-75,2015,345698
Female,70-75,2015,370108
TOTAL,70-75,2015,715806
Male,75-80,2015,245570
Female,75-80,2015,295472
TOTAL,75-80,2015,541043
Male,80-85,2015,158260
Female,80-85,2015,231439
TOTAL,80-85,2015,389698
Male,85-90,2015,77952
Female,85-90,2015,150187
TOTAL,85-90,2015,228139
Male,90-95,2015,25605
Female,90-95,2015,71216
TOTAL,90-95,2015,96821
Male,95+,2015,4035
Female,95+,2015,17471
TOTAL,95+,2015,21506
Male,TOTAL,2015,8391858
Female,TOTAL,2015,8549345
TOTAL,TOTAL,2015,16941202
Male,00-05,2016,463947
Female,00-05,2016,442526
TOTAL,00-05,2016,906472
Male,05-10,2016,472567
Female,05-10,2016,451078
TOTAL,05-10,2016,923645
Male,10-15,2016,506677
Female,10-15,2016,484466
TOTAL,10-15,2016,991143
Male,15-20,2016,518387
Female,15-20,2016,495492
TOTAL,15-20,2016,1013878
Male,20-25,2016,537108
Female,20-25,2016,524799
TOTAL,20-25,2016,1061908
Male,25-30,2016,543478
Female,25-30,2016,534298
TOTAL,25-30,2016,1077775
Male,30-35,2016,511207
Female,30-35,2016,506811
TOTAL,30-35,2016,1018019
Male,35-40,2016,506912
Female,35-40,2016,506257
TOTAL,35-40,2016,1013169
Male,40-45,2016,560624
Female,40-45,2016,562783
TOTAL,40-45,2016,1123407
Male,45-50,2016,646771
Female,45-50,2016,639322
TOTAL,45-50,2016,1286092
Male,50-55,2016,642418
Female,50-55,2016,635142
TOTAL,50-55,2016,1277561
Male,55-60,2016,584054
Female,55-60,2016,583683
TOTAL,55-60,2016,1167737
Male,60-65,2016,525155
Female,60-65,2016,528463
TOTAL,60-65,2016,1053618
Male,65-70,2016,517557
Female,65-70,2016,527237
TOTAL,65-70,2016,1044794
Male,70-75,2016,353511
Female,70-75,2016,376861
TOTAL,70-75,2016,730372
Male,75-80,2016,255396
Female,75-80,2016,303474
TOTAL,75-80,2016,558870
Male,80-85,2016,162106
Female,80-85,2016,232220
TOTAL,80-85,2016,394326
Male,85-90,2016,82002
Female,85-90,2016,153691
TOTAL,85-90,2016,235694
Male,90-95,2016,26693
Female,90-95,2016,72345
TOTAL,90-95,2016,99038
Male,95+,2016,4615
Female,95+,2016,19185
TOTAL,95+,2016,23800
Male,TOTAL,2016,8421184
Female,TOTAL,2016,8580132
TOTAL,TOTAL,2016,17001316
Male,00-05,2017,464444
Female,00-05,2017,443015
TOTAL,00-05,2017,907460
Male,05-10,2017,470394
Female,05-10,2017,449389
TOTAL,05-10,2017,919782
Male,10-15,2017,498006
Female,10-15,2017,475710
TOTAL,10-15,2017,973716
Male,15-20,2017,522999
Female,15-20,2017,501258
TOTAL,15-20,2017,1024257
Male,20-25,2017,533087
Female,20-25,2017,519743
TOTAL,20-25,2017,1052829
Male,25-30,2017,549925
Female,25-30,2017,540288
