Regio,Misdrijf,Jaar,Aantal misdrijven,Misdrijven per 1000 inwoners,Opgehelderde misdrijven,Perc. opgehelderd
Nederland,Totaal,2005,1341950,82.3,339200,25.3
Nederland,Totaal,2006,1304325,79.9,332490,25.5
Nederland,Totaal,2007,1292820,79,323155,25
Nederland,Totaal,2008,1266165,77.2,309565,24.4
Nederland,Totaal,2009,1243285,75.4,305420,24.6
Nederland,Totaal,2010,1192640,72,302385,25.4
Nederland,Totaal,2011*,1192755,71.6,288845,24.2
Nederland,Vermogensmisdrijven,2005,791765,48.6,106480,13.4
Nederland,Vermogensmisdrijven,2006,746245,45.7,99045,13.3
Nederland,Vermogensmisdrijven,2007,722365,44.2,91325,12.6
Nederland,Vermogensmisdrijven,2008,717245,43.7,90580,12.6
Nederland,Vermogensmisdrijven,2009,721065,43.7,89840,12.5
Nederland,Vermogensmisdrijven,2010,703465,42.4,94385,13.4
Nederland,Vermogensmisdrijven,2011*,709995,42.6,91180,12.8
Nederland,Vernielingen/misdr.openb.orde,2005,229935,14.1,41135,17.9
Nederland,Vernielingen/misdr.openb.orde,2006,233790,14.3,41505,17.8
Nederland,Vernielingen/misdr.openb.orde,2007,241880,14.8,41425,17.1
Nederland,Vernielingen/misdr.openb.orde,2008,231795,14.1,38575,16.6
Nederland,Vernielingen/misdr.openb.orde,2009,213755,13,40270,18.8
Nederland,Vernielingen/misdr.openb.orde,2010,184310,11.1,39570,21.5
Nederland,Vernielingen/misdr.openb.orde,2011*,181475,10.9,36015,19.8
Nederland,Gewelds- en seksuele misdrijven,2005,122690,7.5,76460,62.3
Nederland,Gewelds- en seksuele misdrijven,2006,123680,7.6,77810,62.9
Nederland,Gewelds- en seksuele misdrijven,2007,125055,7.6,78650,62.9
Nederland,Gewelds- en seksuele misdrijven,2008,120035,7.3,74870,62.4
Nederland,Gewelds- en seksuele misdrijven,2009,117730,7.1,75330,64
Nederland,Gewelds- en seksuele misdrijven,2010,112695,6.8,73635,65.3
Nederland,Gewelds- en seksuele misdrijven,2011*,111355,6.7,70665,63.5
Groningen (PO),Totaal,2005,41650,72.4,11165,26.8
Groningen (PO),Totaal,2006,42050,73.3,12265,29.2
Groningen (PO),Totaal,2007,41360,72.1,12035,29.1
Groningen (PO),Totaal,2008,40915,71.4,11495,28.1
Groningen (PO),Totaal,2009,41205,71.8,12760,31
Groningen (PO),Totaal,2010,38065,66,12475,32.8
Groningen (PO),Totaal,2011*,36675,63.3,11410,31.1
Groningen (PO),Vermogensmisdrijven,2005,23890,41.5,4015,16.8
Groningen (PO),Vermogensmisdrijven,2006,23610,41.1,4455,18.9
Groningen (PO),Vermogensmisdrijven,2007,22165,38.6,4010,18.1
Groningen (PO),Vermogensmisdrijven,2008,21720,37.9,3810,17.5
Groningen (PO),Vermogensmisdrijven,2009,22435,39.1,4070,18.1
Groningen (PO),Vermogensmisdrijven,2010,21040,36.5,4090,19.4
Groningen (PO),Vermogensmisdrijven,2011*,20590,35.6,3870,18.8
Groningen (PO),Vernielingen/misdr.openb.orde,2005,8190,14.2,1500,18.3
Groningen (PO),Vernielingen/misdr.openb.orde,2006,8450,14.7,1775,21
Groningen (PO),Vernielingen/misdr.openb.orde,2007,8595,15,1710,19.9
Groningen (PO),Vernielingen/misdr.openb.orde,2008,8935,15.6,1660,18.6
Groningen (PO),Vernielingen/misdr.openb.orde,2009,8655,15.1,2245,26
Groningen (PO),Vernielingen/misdr.openb.orde,2010,6670,11.6,1795,26.9
Groningen (PO),Vernielingen/misdr.openb.orde,2011*,6510,11.2,1705,26.2
