Jaar,Sector,Energieaanbod,Energieverbruik
1995,Nederland totaal,2965.09,2965.08
1995,Energiesector,561.79,561.77
1995,06 Winning van aardolie en aardgas,27.95,27.95
1995,Cokesfabrieken,16.13,16.12
1995,192 Aardolie-industrie,172.2,172.2
1995,35 Energiebedrijven,345.51,345.51
1995,Totaal energieafnemers,2403.3,2403.31
1995,Nijverheid (geen energiesector),1047.3,1047.3
1995,08 Delfstoffenwinning (geen olie en gas),2.03,2.03
1995,10-12 Voedings-  genotmiddelenindustrie,92.55,92.55
1995,13-15 Textiel-  kleding-  lederindustrie,8.89,8.89
1995,16 Houtindustrie,3.92,3.92
1995,17-18 Papier- en grafische industrie,38.51,38.51
1995,20-21 Chemie en farmaceutische industrie,639.72,639.72
1995,Basischemie zonder 2013-2015,32.76,32.76
1995,2013 Overige anorganische basischemie,23.72,23.72
1995,2014 Overige organische basischemie,444.08,444.08
1995,2015 Kunstmestindustrie,115.86,115.86
1995,Chemische en farmaceutische producten,23.31,23.31
1995,23 Bouwmaterialenindustrie,35.76,35.76
1995,24 Basismetaalindustrie,126.68,126.68
1995,IJzer- en staalindustrie,101.48,101.48
1995,Non-ferrometalenindustrie,25.2,25.2
1995,25-28 Metaalproducten/machine-industrie,40.89,40.89
1995,29-30 Transportmiddelenindustrie,5.57,5.57
1995,31-33 Overige industrie en reparatie,17.94,17.94
1995,F Bouwnijverheid,34.84,
1995,Vervoer,420.75,420.75
1995,Railverkeer,7.35,7.35
1995,Wegverkeer,400.6,400.6
1995,Scheepvaart,7.38,7.38
1995,Luchtvaart,5.43,5.43
1995,Particuliere huishoudens,454.94,454.94
1995,Landbouw  visserij en dienstverlening,480.3,480.31
1995,Landbouw,176.17,
1995,Visserij,,
1995,E Waterbedrijven en afvalbeheer,32.65,
1995,G-U Dienstverlening,271.48,
1996,Nederland totaal,3103.95,3103.93
1996,Energiesector,567.2,567.17
1996,06 Winning van aardolie en aardgas,33.63,33.63
1996,Cokesfabrieken,17.3,17.27
1996,192 Aardolie-industrie,173.81,173.81
1996,35 Energiebedrijven,342.46,342.46
1996,Totaal energieafnemers,2536.76,2536.76
1996,Nijverheid (geen energiesector),1030.7,1030.7
1996,08 Delfstoffenwinning (geen olie en gas),2,2
1996,10-12 Voedings-  genotmiddelenindustrie,102.89,102.89
1996,13-15 Textiel-  kleding-  lederindustrie,9.33,9.33
1996,16 Houtindustrie,3.98,3.98
1996,17-18 Papier- en grafische industrie,41.69,41.69
1996,20-21 Chemie en farmaceutische industrie,606.29,606.29
1996,Basischemie zonder 2013-2015,36.26,36.26
1996,2013 Overige anorganische basischemie,22.92,22.92
