jaar,geslacht,leeftijd,aantalpatienten
2002,Totaal,Totaal,2.9
2002,Man,Totaal,2.8
2002,Vrouw,Totaal,3.1
2002,Totaal,0 tot 25,0.2
2002,Man,0 tot 25,0.2
2002,Vrouw,0 tot 25,0.2
2002,Totaal,25 tot 35,0.4
2002,Man,25 tot 35,0.4
2002,Vrouw,25 tot 35,0.4
2002,Totaal,35 tot 45,0.9
2002,Man,35 tot 45,0.9
2002,Vrouw,35 tot 45,0.9
2002,Totaal,45 tot 55,2.5
2002,Man,45 tot 55,2.7
2002,Vrouw,45 tot 55,2.2
2002,Totaal,55 tot 65,6.3
2002,Man,55 tot 65,7.2
2002,Vrouw,55 tot 65,5.5
2002,Totaal,65 tot 75,10.6
2002,Man,65 tot 75,10.3
2002,Vrouw,65 tot 75,10.7
2002,Totaal,75+,12.5
2002,Man,75+,11.8
2002,Vrouw,75+,12.9
2003,Totaal,Totaal,3.1
2003,Man,Totaal,3
2003,Vrouw,Totaal,3.3
2003,Totaal,0 tot 25,0.1
2003,Man,0 tot 25,0.2
2003,Vrouw,0 tot 25,0.2
2003,Totaal,25 tot 35,0.4
2003,Man,25 tot 35,0.4
2003,Vrouw,25 tot 35,0.4
2003,Totaal,35 tot 45,1
2003,Man,35 tot 45,1
2003,Vrouw,35 tot 45,0.9
2003,Totaal,45 tot 55,2.8
2003,Man,45 tot 55,3
2003,Vrouw,45 tot 55,2.4
2003,Totaal,55 tot 65,7
2003,Man,55 tot 65,7.7
2003,Vrouw,55 tot 65,6.3
2003,Totaal,65 tot 75,11.2
2003,Man,65 tot 75,11
2003,Vrouw,65 tot 75,11.4
2003,Totaal,75+,13.2
2003,Man,75+,12.3
2003,Vrouw,75+,13.7
2004,Totaal,Totaal,3.6
2004,Man,Totaal,3.4
2004,Vrouw,Totaal,3.8
2004,Totaal,0 tot 25,0.1
2004,Man,0 tot 25,0.1
2004,Vrouw,0 tot 25,0.2
2004,Totaal,25 tot 35,0.4
2004,Man,25 tot 35,0.5
2004,Vrouw,25 tot 35,0.3
2004,Totaal,35 tot 45,1.1
2004,Man,35 tot 45,1.1
2004,Vrouw,35 tot 45,1.1
2004,Totaal,45 tot 55,3
2004,Man,45 tot 55,3.5
2004,Vrouw,45 tot 55,2.5
2004,Totaal,55 tot 65,8
2004,Man,55 tot 65,8.8
2004,Vrouw,55 tot 65,7.2
2004,Totaal,65 tot 75,13.2
2004,Man,65 tot 75,13.4
2004,Vrouw,65 tot 75,13
2004,Totaal,75+,15
2004,Man,75+,12.8
2004,Vrouw,75+,16.3
2005,Totaal,Totaal,3.4
2005,Man,Totaal,3.3
2005,Vrouw,Totaal,3.5
2005,Totaal,0 tot 25,0.2
2005,Man,0 tot 25,0.2
2005,Vrouw,0 tot 25,0.2
2005,Totaal,25 tot 35,0.3
