Soort,Regio,Jaar,Overlast
Overlast van groepen jongeren,Nederland,2008,11.3
Overlast van groepen jongeren,Nederland,2009,11.9
Overlast van groepen jongeren,Nederland,2010,11.3
Overlast van groepen jongeren,Nederland,2011,10.9
Overlast van groepen jongeren,Groningen (PO),2008,10
Overlast van groepen jongeren,Groningen (PO),2009,9.3
Overlast van groepen jongeren,Groningen (PO),2010,5.6
Overlast van groepen jongeren,Groningen (PO),2011,8
Overlast van groepen jongeren,Friesland (PO),2008,7.6
Overlast van groepen jongeren,Friesland (PO),2009,6.9
Overlast van groepen jongeren,Friesland (PO),2010,5.7
Overlast van groepen jongeren,Friesland (PO),2011,6
Overlast van groepen jongeren,Drenthe (PO),2008,6.6
Overlast van groepen jongeren,Drenthe (PO),2009,8.4
Overlast van groepen jongeren,Drenthe (PO),2010,5
Overlast van groepen jongeren,Drenthe (PO),2011,6.2
Overlast van groepen jongeren,IJsselland (PO),2008,7
Overlast van groepen jongeren,IJsselland (PO),2009,7.4
Overlast van groepen jongeren,IJsselland (PO),2010,6.8
Overlast van groepen jongeren,IJsselland (PO),2011,6.3
Overlast van groepen jongeren,Twente (PO),2008,8.2
Overlast van groepen jongeren,Twente (PO),2009,8.2
Overlast van groepen jongeren,Twente (PO),2010,7.9
Overlast van groepen jongeren,Twente (PO),2011,8.5
Overlast van groepen jongeren,Noord- en Oost-Gelderland (PO),2008,6.3
Overlast van groepen jongeren,Noord- en Oost-Gelderland (PO),2009,7.5
Overlast van groepen jongeren,Noord- en Oost-Gelderland (PO),2010,6.5
Overlast van groepen jongeren,Noord- en Oost-Gelderland (PO),2011,6
Overlast van groepen jongeren,Gelderland-Midden (PO),2008,7.5
Overlast van groepen jongeren,Gelderland-Midden (PO),2009,10.3
Overlast van groepen jongeren,Gelderland-Midden (PO),2010,9.7
Overlast van groepen jongeren,Gelderland-Midden (PO),2011,8.8
Overlast van groepen jongeren,Gelderland-Zuid (PO),2008,9
Overlast van groepen jongeren,Gelderland-Zuid (PO),2009,10.6
Overlast van groepen jongeren,Gelderland-Zuid (PO),2010,9.1
Overlast van groepen jongeren,Gelderland-Zuid (PO),2011,10
Overlast van groepen jongeren,Utrecht (PO),2008,12.2
Overlast van groepen jongeren,Utrecht (PO),2009,13
Overlast van groepen jongeren,Utrecht (PO),2010,10.9
Overlast van groepen jongeren,Utrecht (PO),2011,11.4
Overlast van groepen jongeren,Noord-Holland-Noord (PO),2008,10.6
Overlast van groepen jongeren,Noord-Holland-Noord (PO),2009,11.3
Overlast van groepen jongeren,Noord-Holland-Noord (PO),2010,10.4
Overlast van groepen jongeren,Noord-Holland-Noord (PO),2011,10
Overlast van groepen jongeren,Zaanstreek-Waterland (PO),2008,16.7
Overlast van groepen jongeren,Zaanstreek-Waterland (PO),2009,14.6
Overlast van groepen jongeren,Zaanstreek-Waterland (PO),2010,16.1
Overlast van groepen jongeren,Zaanstreek-Waterland (PO),2011,14.9
Overlast van groepen jongeren,Kennemerland (PO),2008,11.3
Overlast van groepen jongeren,Kennemerland (PO),2009,13.7
Overlast van groepen jongeren,Kennemerland (PO),2010,14
Overlast van groepen jongeren,Kennemerland (PO),2011,11.6
Overlast van groepen jongeren,Amsterdam-Amstelland (PO),2008,18
Overlast van groepen jongeren,Amsterdam-Amstelland (PO),2009,19.1
Overlast van groepen jongeren,Amsterdam-Amstelland (PO),2010,19.1
Overlast van groepen jongeren,Amsterdam-Amstelland (PO),2011,16.8
Overlast van groepen jongeren,Gooi en Vechtstreek (PO),2008,9.9
Overlast van groepen jongeren,Gooi en Vechtstreek (PO),2009,12.1
Overlast van groepen jongeren,Gooi en Vechtstreek (PO),2010,11.3
Overlast van groepen jongeren,Gooi en Vechtstreek (PO),2011,11.2
Overlast van groepen jongeren,Haaglanden (PO),2008,16.7
Overlast van groepen jongeren,Haaglanden (PO),2009,16.4
Overlast van groepen jongeren,Haaglanden (PO),2010,16.3
Overlast van groepen jongeren,Haaglanden (PO),2011,16.2
Overlast van groepen jongeren,Hollands Midden (PO),2008,11.5
Overlast van groepen jongeren,Hollands Midden (PO),2009,11.1
Overlast van groepen jongeren,Hollands Midden (PO),2010,10.7
Overlast van groepen jongeren,Hollands Midden (PO),2011,11.2
Overlast van groepen jongeren,Rotterdam-Rijnmond (PO),2008,18.2
Overlast van groepen jongeren,Rotterdam-Rijnmond (PO),2009,17
Overlast van groepen jongeren,Rotterdam-Rijnmond (PO),2010,17.2
Overlast van groepen jongeren,Rotterdam-Rijnmond (PO),2011,16.6
Overlast van groepen jongeren,Zuid-Holland-Zuid (PO),2008,12.5
Overlast van groepen jongeren,Zuid-Holland-Zuid (PO),2009,13.9
Overlast van groepen jongeren,Zuid-Holland-Zuid (PO),2010,11.9
Overlast van groepen jongeren,Zuid-Holland-Zuid (PO),2011,11.9
Overlast van groepen jongeren,Zeeland (PO),2008,7.7
Overlast van groepen jongeren,Zeeland (PO),2009,9
Overlast van groepen jongeren,Zeeland (PO),2010,6.8
Overlast van groepen jongeren,Zeeland (PO),2011,5.8
Overlast van groepen jongeren,Midden- en West-Brabant (PO),2008,11.9
Overlast van groepen jongeren,Midden- en West-Brabant (PO),2009,11
Overlast van groepen jongeren,Midden- en West-Brabant (PO),2010,10.9
Overlast van groepen jongeren,Midden- en West-Brabant (PO),2011,11.1
Overlast van groepen jongeren,Brabant-Noord (PO),2008,7.9
Overlast van groepen jongeren,Brabant-Noord (PO),2009,8.5
Overlast van groepen jongeren,Brabant-Noord (PO),2010,7.8
Overlast van groepen jongeren,Brabant-Noord (PO),2011,8.2
Overlast van groepen jongeren,Brabant-Zuidoost (PO),2008,9
Overlast van groepen jongeren,Brabant-Zuidoost (PO),2009,10.2
Overlast van groepen jongeren,Brabant-Zuidoost (PO),2010,10.9
Overlast van groepen jongeren,Brabant-Zuidoost (PO),2011,10.3
Overlast van groepen jongeren,Limburg-Noord (PO),2008,8.7
Overlast van groepen jongeren,Limburg-Noord (PO),2009,9.3
Overlast van groepen jongeren,Limburg-Noord (PO),2010,10.6
Overlast van groepen jongeren,Limburg-Noord (PO),2011,9.1
Overlast van groepen jongeren,Limburg-Zuid (PO),2008,12.4
Overlast van groepen jongeren,Limburg-Zuid (PO),2009,15.4
Overlast van groepen jongeren,Limburg-Zuid (PO),2010,16.6
Overlast van groepen jongeren,Limburg-Zuid (PO),2011,12.7
Overlast van groepen jongeren,Flevoland (PO),2008,9.3
Overlast van groepen jongeren,Flevoland (PO),2009,12.3
Overlast van groepen jongeren,Flevoland (PO),2010,10.2
Overlast van groepen jongeren,Flevoland (PO),2011,11.7
Mensen worden op straat lastig gevallen,Nederland,2008,2
Mensen worden op straat lastig gevallen,Nederland,2009,2.1
Mensen worden op straat lastig gevallen,Nederland,2010,2.1
Mensen worden op straat lastig gevallen,Nederland,2011,2.2
Mensen worden op straat lastig gevallen,Groningen (PO),2008,1.9
Mensen worden op straat lastig gevallen,Groningen (PO),2009,2.4
Mensen worden op straat lastig gevallen,Groningen (PO),2010,1.9
Mensen worden op straat lastig gevallen,Groningen (PO),2011,1.7
