Soort,Regio,Jaar,Overlast
Sociale overlast - schaalscore,Nederland,2008,1.7
Sociale overlast - schaalscore,Nederland,2009,1.7
Sociale overlast - schaalscore,Nederland,2010,1.7
Sociale overlast - schaalscore,Nederland,2011,1.7
Sociale overlast - schaalscore,Groningen (PO),2008,1.9
Sociale overlast - schaalscore,Groningen (PO),2009,1.7
Sociale overlast - schaalscore,Groningen (PO),2010,1.5
Sociale overlast - schaalscore,Groningen (PO),2011,1.6
Sociale overlast - schaalscore,Friesland (PO),2008,1.4
Sociale overlast - schaalscore,Friesland (PO),2009,1.4
Sociale overlast - schaalscore,Friesland (PO),2010,1.4
Sociale overlast - schaalscore,Friesland (PO),2011,1.3
Sociale overlast - schaalscore,Drenthe (PO),2008,1.2
Sociale overlast - schaalscore,Drenthe (PO),2009,1.4
Sociale overlast - schaalscore,Drenthe (PO),2010,1.1
Sociale overlast - schaalscore,Drenthe (PO),2011,1.3
Sociale overlast - schaalscore,IJsselland (PO),2008,1.3
Sociale overlast - schaalscore,IJsselland (PO),2009,1.4
Sociale overlast - schaalscore,IJsselland (PO),2010,1.3
Sociale overlast - schaalscore,IJsselland (PO),2011,1.2
Sociale overlast - schaalscore,Twente (PO),2008,1.3
Sociale overlast - schaalscore,Twente (PO),2009,1.4
Sociale overlast - schaalscore,Twente (PO),2010,1.3
Sociale overlast - schaalscore,Twente (PO),2011,1.4
Sociale overlast - schaalscore,Noord- en Oost-Gelderland (PO),2008,1.2
Sociale overlast - schaalscore,Noord- en Oost-Gelderland (PO),2009,1.2
Sociale overlast - schaalscore,Noord- en Oost-Gelderland (PO),2010,1.3
Sociale overlast - schaalscore,Noord- en Oost-Gelderland (PO),2011,1.2
Sociale overlast - schaalscore,Gelderland-Midden (PO),2008,1.6
Sociale overlast - schaalscore,Gelderland-Midden (PO),2009,1.5
Sociale overlast - schaalscore,Gelderland-Midden (PO),2010,1.4
Sociale overlast - schaalscore,Gelderland-Midden (PO),2011,1.4
Sociale overlast - schaalscore,Gelderland-Zuid (PO),2008,1.5
Sociale overlast - schaalscore,Gelderland-Zuid (PO),2009,1.5
Sociale overlast - schaalscore,Gelderland-Zuid (PO),2010,1.4
Sociale overlast - schaalscore,Gelderland-Zuid (PO),2011,1.6
Sociale overlast - schaalscore,Utrecht (PO),2008,1.5
Sociale overlast - schaalscore,Utrecht (PO),2009,1.7
Sociale overlast - schaalscore,Utrecht (PO),2010,1.6
Sociale overlast - schaalscore,Utrecht (PO),2011,1.6
Sociale overlast - schaalscore,Noord-Holland-Noord (PO),2008,1.8
Sociale overlast - schaalscore,Noord-Holland-Noord (PO),2009,1.7
Sociale overlast - schaalscore,Noord-Holland-Noord (PO),2010,1.7
Sociale overlast - schaalscore,Noord-Holland-Noord (PO),2011,1.6
Sociale overlast - schaalscore,Zaanstreek-Waterland (PO),2008,2
Sociale overlast - schaalscore,Zaanstreek-Waterland (PO),2009,1.8
Sociale overlast - schaalscore,Zaanstreek-Waterland (PO),2010,1.9
Sociale overlast - schaalscore,Zaanstreek-Waterland (PO),2011,1.8
Sociale overlast - schaalscore,Kennemerland (PO),2008,1.6
Sociale overlast - schaalscore,Kennemerland (PO),2009,1.5
Sociale overlast - schaalscore,Kennemerland (PO),2010,1.8
Sociale overlast - schaalscore,Kennemerland (PO),2011,1.7
Sociale overlast - schaalscore,Amsterdam-Amstelland (PO),2008,2.7
Sociale overlast - schaalscore,Amsterdam-Amstelland (PO),2009,2.6
Sociale overlast - schaalscore,Amsterdam-Amstelland (PO),2010,2.6
Sociale overlast - schaalscore,Amsterdam-Amstelland (PO),2011,2.5
Sociale overlast - schaalscore,Gooi en Vechtstreek (PO),2008,1.4
Sociale overlast - schaalscore,Gooi en Vechtstreek (PO),2009,1.5
Sociale overlast - schaalscore,Gooi en Vechtstreek (PO),2010,1.6
Sociale overlast - schaalscore,Gooi en Vechtstreek (PO),2011,1.5
Sociale overlast - schaalscore,Haaglanden (PO),2008,2
Sociale overlast - schaalscore,Haaglanden (PO),2009,2
Sociale overlast - schaalscore,Haaglanden (PO),2010,2.1
Sociale overlast - schaalscore,Haaglanden (PO),2011,2.2
Sociale overlast - schaalscore,Hollands Midden (PO),2008,1.6
Sociale overlast - schaalscore,Hollands Midden (PO),2009,1.7
Sociale overlast - schaalscore,Hollands Midden (PO),2010,1.6
Sociale overlast - schaalscore,Hollands Midden (PO),2011,1.6
Sociale overlast - schaalscore,Rotterdam-Rijnmond (PO),2008,2.2
Sociale overlast - schaalscore,Rotterdam-Rijnmond (PO),2009,2.2
Sociale overlast - schaalscore,Rotterdam-Rijnmond (PO),2010,2.4
Sociale overlast - schaalscore,Rotterdam-Rijnmond (PO),2011,2.3
Sociale overlast - schaalscore,Zuid-Holland-Zuid (PO),2008,1.6
Sociale overlast - schaalscore,Zuid-Holland-Zuid (PO),2009,1.8
Sociale overlast - schaalscore,Zuid-Holland-Zuid (PO),2010,1.7
Sociale overlast - schaalscore,Zuid-Holland-Zuid (PO),2011,1.6
Sociale overlast - schaalscore,Zeeland (PO),2008,1.4
Sociale overlast - schaalscore,Zeeland (PO),2009,1.4
Sociale overlast - schaalscore,Zeeland (PO),2010,1.4
Sociale overlast - schaalscore,Zeeland (PO),2011,1.2
Sociale overlast - schaalscore,Midden- en West-Brabant (PO),2008,1.7
Sociale overlast - schaalscore,Midden- en West-Brabant (PO),2009,1.7
Sociale overlast - schaalscore,Midden- en West-Brabant (PO),2010,1.8
Sociale overlast - schaalscore,Midden- en West-Brabant (PO),2011,1.7
Sociale overlast - schaalscore,Brabant-Noord (PO),2008,1.3
Sociale overlast - schaalscore,Brabant-Noord (PO),2009,1.3
Sociale overlast - schaalscore,Brabant-Noord (PO),2010,1.4
Sociale overlast - schaalscore,Brabant-Noord (PO),2011,1.3
Sociale overlast - schaalscore,Brabant-Zuidoost (PO),2008,1.4
Sociale overlast - schaalscore,Brabant-Zuidoost (PO),2009,1.5
Sociale overlast - schaalscore,Brabant-Zuidoost (PO),2010,1.5
Sociale overlast - schaalscore,Brabant-Zuidoost (PO),2011,1.6
Sociale overlast - schaalscore,Limburg-Noord (PO),2008,1.4
Sociale overlast - schaalscore,Limburg-Noord (PO),2009,1.5
Sociale overlast - schaalscore,Limburg-Noord (PO),2010,1.6
Sociale overlast - schaalscore,Limburg-Noord (PO),2011,1.5
Sociale overlast - schaalscore,Limburg-Zuid (PO),2008,1.9
Sociale overlast - schaalscore,Limburg-Zuid (PO),2009,2
Sociale overlast - schaalscore,Limburg-Zuid (PO),2010,2.1
Sociale overlast - schaalscore,Limburg-Zuid (PO),2011,1.9
Sociale overlast - schaalscore,Flevoland (PO),2008,1.4
Sociale overlast - schaalscore,Flevoland (PO),2009,1.6
Sociale overlast - schaalscore,Flevoland (PO),2010,1.6
Sociale overlast - schaalscore,Flevoland (PO),2011,1.5
Dreiging - schaalscore,Nederland,2008,1.2
Dreiging - schaalscore,Nederland,2009,1.1
Dreiging - schaalscore,Nederland,2010,1.2
Dreiging - schaalscore,Nederland,2011,1.1
Dreiging - schaalscore,Groningen (PO),2008,1.2
Dreiging - schaalscore,Groningen (PO),2009,1.1
Dreiging - schaalscore,Groningen (PO),2010,1
Dreiging - schaalscore,Groningen (PO),2011,1
Dreiging - schaalscore,Friesland (PO),2008,0.9
Dreiging - schaalscore,Friesland (PO),2009,0.8
Dreiging - schaalscore,Friesland (PO),2010,0.8
Dreiging - schaalscore,Friesland (PO),2011,0.8
Dreiging - schaalscore,Drenthe (PO),2008,0.9
Dreiging - schaalscore,Drenthe (PO),2009,0.9
Dreiging - schaalscore,Drenthe (PO),2010,0.8
Dreiging - schaalscore,Drenthe (PO),2011,0.8
Dreiging - schaalscore,IJsselland (PO),2008,0.9
Dreiging - schaalscore,IJsselland (PO),2009,0.9
Dreiging - schaalscore,IJsselland (PO),2010,0.9
Dreiging - schaalscore,IJsselland (PO),2011,0.7
Dreiging - schaalscore,Twente (PO),2008,0.7
Dreiging - schaalscore,Twente (PO),2009,0.8
Dreiging - schaalscore,Twente (PO),2010,0.8
Dreiging - schaalscore,Twente (PO),2011,0.8
Dreiging - schaalscore,Noord- en Oost-Gelderland (PO),2008,0.8
Dreiging - schaalscore,Noord- en Oost-Gelderland (PO),2009,0.7
Dreiging - schaalscore,Noord- en Oost-Gelderland (PO),2010,0.8
Dreiging - schaalscore,Noord- en Oost-Gelderland (PO),2011,0.7
Dreiging - schaalscore,Gelderland-Midden (PO),2008,1
Dreiging - schaalscore,Gelderland-Midden (PO),2009,0.9
Dreiging - schaalscore,Gelderland-Midden (PO),2010,1.1
Dreiging - schaalscore,Gelderland-Midden (PO),2011,1
Dreiging - schaalscore,Gelderland-Zuid (PO),2008,1.1
Dreiging - schaalscore,Gelderland-Zuid (PO),2009,1
Dreiging - schaalscore,Gelderland-Zuid (PO),2010,1
Dreiging - schaalscore,Gelderland-Zuid (PO),2011,1.1
Dreiging - schaalscore,Utrecht (PO),2008,1.1
Dreiging - schaalscore,Utrecht (PO),2009,1.2
Dreiging - schaalscore,Utrecht (PO),2010,1.2
Dreiging - schaalscore,Utrecht (PO),2011,1.2
Dreiging - schaalscore,Noord-Holland-Noord (PO),2008,1.2
Dreiging - schaalscore,Noord-Holland-Noord (PO),2009,1.1
Dreiging - schaalscore,Noord-Holland-Noord (PO),2010,1.2
Dreiging - schaalscore,Noord-Holland-Noord (PO),2011,1
Dreiging - schaalscore,Zaanstreek-Waterland (PO),2008,1.3
Dreiging - schaalscore,Zaanstreek-Waterland (PO),2009,1.2
Dreiging - schaalscore,Zaanstreek-Waterland (PO),2010,1.3
Dreiging - schaalscore,Zaanstreek-Waterland (PO),2011,1.2
Dreiging - schaalscore,Kennemerland (PO),2008,1.1
Dreiging - schaalscore,Kennemerland (PO),2009,1.1
Dreiging - schaalscore,Kennemerland (PO),2010,1.3
Dreiging - schaalscore,Kennemerland (PO),2011,1.1
Dreiging - schaalscore,Amsterdam-Amstelland (PO),2008,2.2
Dreiging - schaalscore,Amsterdam-Amstelland (PO),2009,2.2
Dreiging - schaalscore,Amsterdam-Amstelland (PO),2010,2.2
Dreiging - schaalscore,Amsterdam-Amstelland (PO),2011,2
Dreiging - schaalscore,Gooi en Vechtstreek (PO),2008,1
Dreiging - schaalscore,Gooi en Vechtstreek (PO),2009,1
Dreiging - schaalscore,Gooi en Vechtstreek (PO),2010,1.1
Dreiging - schaalscore,Gooi en Vechtstreek (PO),2011,1
Dreiging - schaalscore,Haaglanden (PO),2008,1.6
Dreiging - schaalscore,Haaglanden (PO),2009,1.5
Dreiging - schaalscore,Haaglanden (PO),2010,1.6
Dreiging - schaalscore,Haaglanden (PO),2011,1.7
Dreiging - schaalscore,Hollands Midden (PO),2008,1
Dreiging - schaalscore,Hollands Midden (PO),2009,1.1
Dreiging - schaalscore,Hollands Midden (PO),2010,1.2
Dreiging - schaalscore,Hollands Midden (PO),2011,1
Dreiging - schaalscore,Rotterdam-Rijnmond (PO),2008,1.7
Dreiging - schaalscore,Rotterdam-Rijnmond (PO),2009,1.6
Dreiging - schaalscore,Rotterdam-Rijnmond (PO),2010,1.9
Dreiging - schaalscore,Rotterdam-Rijnmond (PO),2011,1.7
Dreiging - schaalscore,Zuid-Holland-Zuid (PO),2008,1.1
Dreiging - schaalscore,Zuid-Holland-Zuid (PO),2009,1.2
Dreiging - schaalscore,Zuid-Holland-Zuid (PO),2010,1.1
Dreiging - schaalscore,Zuid-Holland-Zuid (PO),2011,1.1
Dreiging - schaalscore,Zeeland (PO),2008,0.9
Dreiging - schaalscore,Zeeland (PO),2009,1
Dreiging - schaalscore,Zeeland (PO),2010,0.9
Dreiging - schaalscore,Zeeland (PO),2011,0.8
Dreiging - schaalscore,Midden- en West-Brabant (PO),2008,1.3
Dreiging - schaalscore,Midden- en West-Brabant (PO),2009,1.1
Dreiging - schaalscore,Midden- en West-Brabant (PO),2010,1.4
Dreiging - schaalscore,Midden- en West-Brabant (PO),2011,1.1
Dreiging - schaalscore,Brabant-Noord (PO),2008,0.9
Dreiging - schaalscore,Brabant-Noord (PO),2009,0.9
Dreiging - schaalscore,Brabant-Noord (PO),2010,0.8
Dreiging - schaalscore,Brabant-Noord (PO),2011,0.8
