Sector,Jaar,BrutoToegevoegdeWaardeBasisprijzen,BrutoToegevoegdeWaardeBasisprijzenIndex
A-U Alle economische activiteiten,1988,215786,68.9
A-U Alle economische activiteiten,1989,234610,69.9
A-U Alle economische activiteiten,1990,245851,70.9
A-U Alle economische activiteiten,1991,260010,73.2
A-U Alle economische activiteiten,1992,265760,75
A-U Alle economische activiteiten,1993,266048,76.1
A-U Alle economische activiteiten,1994,280144,77.5
A-U Alle economische activiteiten,1995,297148,78.4
A-U Alle economische activiteiten,1996,318880,79.3
A-U Alle economische activiteiten,1997,343089,81.2
A-U Alle economische activiteiten,1998,359950,82.7
A-U Alle economische activiteiten,1999,383982,84.1
A-U Alle economische activiteiten,2000,431491,87.7
A-U Alle economische activiteiten,2001,454339,91.6
A-U Alle economische activiteiten,2002,454777,95.3
A-U Alle economische activiteiten,2003,456992,97.4
A-U Alle economische activiteiten,2004,475757,97.8
A-U Alle economische activiteiten,2005,504611,100
A-U Alle economische activiteiten,2006,541566,101.6
A-U Alle economische activiteiten,2007,576620,103.6
A-U Alle economische activiteiten,2008,619889,105.6
A-U Alle economische activiteiten,2009,584289,105.6
A-U Alle economische activiteiten,2010,614047,106.8
A-U Alle economische activiteiten,2011,646934,108.2
01 Landbouw,1988,10340,132.5
01 Landbouw,1989,10834,143.9
01 Landbouw,1990,10411,135.1
01 Landbouw,1991,10917,135.3
01 Landbouw,1992,10886,126.8
01 Landbouw,1993,10549,110.6
01 Landbouw,1994,10593,115.1
01 Landbouw,1995,10593,114.7
01 Landbouw,1996,11098,115.5
01 Landbouw,1997,11180,120.7
01 Landbouw,1998,11134,115.6
01 Landbouw,1999,11350,103
01 Landbouw,2000,11874,108.3
01 Landbouw,2001,12413,117.1
01 Landbouw,2002,12624,111.1
01 Landbouw,2003,12309,110.2
01 Landbouw,2004,12837,97.4
01 Landbouw,2005,13114,100
01 Landbouw,2006,14081,112.3
01 Landbouw,2007,15219,107.5
01 Landbouw,2008,16985,95.6
01 Landbouw,2009,16291,81.5
01 Landbouw,2010,16916,97.6
01 Landbouw,2011,18114,89.3
02 Bosbouw,1988,34,176.9
02 Bosbouw,1989,38,146.6
02 Bosbouw,1990,40,160.8
02 Bosbouw,1991,41,160.8
02 Bosbouw,1992,41,126.9
02 Bosbouw,1993,41,106.9
02 Bosbouw,1994,40,109.6
02 Bosbouw,1995,41,84.3
02 Bosbouw,1996,46,67.9
02 Bosbouw,1997,50,67.9
02 Bosbouw,1998,54,67.9
